product_id,handle,title,vendor,product_type,bullet_1,bullet_2,bullet_3,confidence_score,generated_date,needs_review,reasoning
gid://shopify/Product/6930798870609,shanga-mesh-combo,Shanga Mesh Combo,Trailrace Equestrian Outfitters,Horse Rugs,Lightweight mesh fabric ensures breathability in warm Australian climates,Shoulder gusset enhances freedom of movement for active horses,Stainless buckles and satin lined mane area for durability and comfort,95,2026-01-23T05:56:51.050Z,false,"The bullets focus on specific features that enhance the product's functionality and appeal, such as the lightweight mesh for warm climates, the shoulder gusset for movement, and durable stainless buckles with a comfortable satin lining. These details are extracted from the description and highlight unique aspects of the product."
gid://shopify/Product/6930798936145,shanga-towel-rug,Shanga Towel Rug,Trailrace Equestrian Outfitters,Horse Rugs,Reinforced shoulder in blue for added durability during use,Front and leg fastenings ensure secure fit and comfort,Belly straps in brown for extra stability and coverage,95,2026-01-23T05:56:51.050Z,false,"The chosen bullets highlight specific features such as reinforced shoulders, fastening types, and belly straps that differentiate the product. These details are concrete and measurable, aligning with the task requirements."
gid://shopify/Product/6931726008401,007-mineral-salt-blocks,007 Mineral Salt Blocks by Essential Minerals - Get a Quote Today,Trailrace Equestrian Outfitters,Stable Accessories,Balanced calcium-phosphorus ratio for stronger foal bones,Field-tested to enhance vigour and stamina in workhorses,2kg block ideal for individual horses; 20kg for larger needs,95,2026-01-23T05:56:51.050Z,false,"The selected bullets emphasize the product's specific benefits, such as the balanced mineral content for bone strength, proven performance in field tests, and the availability of different block sizes for varied needs. These points differentiate the product in the equestrian market, focusing on measurable and unique features."
gid://shopify/Product/6935106814033,ca-coolite-rug,Coolite Show Rug CA,Trailrace Equestrian Outfitters,Horse Rugs,Coolite polyester outer shell for optimal breathability and sweat absorption,Quick-dry lining ensures the horse stays comfortable and dry post-exercise,Titanium design buckles offer secure fastening and durability for daily use,95,2026-01-23T05:56:51.050Z,false,"These bullets highlight specific materials and features that enhance the product's utility and durability, focusing on the unique attributes that differentiate it from generic horse rugs."
gid://shopify/Product/6935126278225,eureka-mini-canvas-rug,Canvas Mini Rug - Eureka,Trailrace Equestrian Outfitters,Horse Rugs,Ripstop canvas material for enhanced durability and tear resistance,Wool blend blanket lining provides superior warmth in winter,Removable leg straps for easy adjustment and secure fit,95,2026-01-23T05:56:51.050Z,false,"The bullets focus on specific materials and features like ripstop canvas, wool blend lining, and removable leg straps, which are unique selling points that offer durability, warmth, and adjustability, aligning with the product's intended use as a winter rug."
gid://shopify/Product/6935126310993,eureka-mini-synthetic-combo,Synthetic Combo Horse Rug - Eureka Mini,Trailrace Equestrian Outfitters,Horse Rugs,600D waterproof exterior ensures durability in wet conditions,220gsm polyfil body for optimal warmth in cooler climates,High shoulder gussets for enhanced movement and comfort,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight key features like the 600D waterproof material, 220gsm polyfil insulation, and high shoulder gussets, which are specific and measurable benefits that differentiate this product. These features are crucial for the target market in Australia, focusing on durability, warmth, and comfort for miniature horses."
gid://shopify/Product/6935126343761,hamilton-canvas-rugs,Hamilton Show Rug Canvas,Trailrace Equestrian Outfitters,Horse Rugs,Showerproof double ripstop canvas for durability in wet conditions,Generous 1 metre drop ensures full coverage and protection,3 point chrome leather front strap for secure fitting,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the specific materials and features such as the showerproof double ripstop canvas, the 1 metre drop, and the chrome leather front strap, which are key differentiators of the product. These details provide clear, measurable benefits that align with the product's intended use and context."
gid://shopify/Product/6935126376529,collar-check-rug-hood-and-tail-bag-set,"Check Collar Show Rug, Hood, and Tail Bag Set",Trailrace Equestrian Outfitters,Horse Rugs,"Satin mane lining prevents rubbing, ensuring horse comfort",Velcro hood closure and buckle front strap for secure fit,Double bound in sky and navy for a stylish show-day look,95,2026-01-23T05:56:51.050Z,false,"The bullets focus on specific features like satin lining, closure types, and colour scheme, which are unique selling points that enhance comfort, security, and style, directly extracted from the product description."
gid://shopify/Product/6935126409297,kentucky-horsewear-heavy-fleece-rug,Heavy Fleece Show Kentucky Horse Rug From Horsewear,Trailrace Equestrian Outfitters,Horse Rugs,"100% polyester fabric mimics wool, providing warmth without wool's drawbacks",Detachable surcingles allow dual use as a show rug or post-training cover,"Machine washable at 30°C, ensuring easy maintenance and longevity",95,2026-01-23T05:56:51.050Z,false,"These bullets focus on the unique material benefits, versatility with detachable surcingles, and ease of care, differentiating it from other rugs that may not offer these features."
gid://shopify/Product/6935126442065,kentucky-horsewear-magnetic-rug-recuptex,Kentucky Horsewear Recuptex Magnetic Horse Boots,Trailrace Equestrian Outfitters,Horse Rugs,Recuptex fabric with Bekaert BEKINOX® inox yarn enhances circulation,Creates a Faraday cage to reflect and preserve magnetic fields,Durable mesh fabric suitable for year-round use in any climate,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the unique Recuptex fabric technology, the specific Bekaert BEKINOX® inox yarn, and the practical year-round usage, which are key differentiators of this product."
gid://shopify/Product/6935126474833,kentucky-horsewear-mesh-cooler-combo,Kentucky Horsewear's Mesh Cooler Combo Show Rug,Trailrace Equestrian Outfitters,Horse Rugs,"3D spacer honeycomb structure absorbs sweat, keeping horses dry",Mesh fly sheet fabric enhances air circulation and bug prevention,Artificial sheepskin at withers for added comfort and fit,95,2026-01-23T05:56:51.050Z,false,"These bullets highlight the specific materials and design features that differentiate this rug, such as the 3D spacer for sweat absorption, mesh fabric for cooling and bug prevention, and comfort-enhancing sheepskin. These are concrete, measurable features that are unique to this product."
gid://shopify/Product/6935126540369,kentucky-horsewear-mesh-fly-combo,Kentucky Horsewear Mesh Fly Combo,Trailrace Equestrian Outfitters,Horse Rugs,Triangle closure reduces pressure on chest and withers for comfort,Dense mesh fabric blocks insects while allowing airflow,Reflective light colour prevents heat absorption during summer,95,2026-01-23T05:56:51.050Z,false,"The chosen bullets highlight the unique closure system, fabric technology, and heat management, which are specific features that set this product apart from others. These elements directly address comfort, protection, and usability, making them compelling selling points."
gid://shopify/Product/6935126573137,kentucky-rug-tail-cord,Cord Tail Kentucky Horse Rug,Trailrace Equestrian Outfitters,Horse Rugs - Rug Accessories,Elastic cord with dual closures for secure attachment to D-rings,Detachable design with plastic cover for effortless cleaning,Compatible with all Kentucky Horsewear rugs for versatile use,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the specific features of the Tail Cord, such as its elastic nature, detachable design, and compatibility with Kentucky Horsewear rugs. These details differentiate the product by focusing on functionality and ease of maintenance, which are key selling points for customers."
gid://shopify/Product/6935126605905,kentucky-horsewear-velvet-show-rug,Kentucky Horsewear's Velvet Show Rug,Trailrace Equestrian Outfitters,Horse Rugs,Chic velvet exterior with cube quilting for enhanced durability,Artificial rabbit skin lining prevents rug shifting and rubbing,160g fiberfill insulation ideal for winter stable use,95,2026-01-23T05:56:51.050Z,false,"These bullets highlight the unique materials and construction features such as the chic velvet exterior, cube quilting, and artificial rabbit skin lining, which are key differentiators. The 160g fiberfill is specified for winter use, providing a clear benefit for the target market."
gid://shopify/Product/6935126638673,kentucky-sheepskin-rug-bib-chest-protection,Sheepskin Rug Bib Chest Protection by Kentucky Horsewear,Trailrace Equestrian Outfitters,Horse Rugs - Rug Accessories,Memory foam adapts to all horse morphologies for custom comfort,"Anatomical shape stays secure without fasteners, ideal for transport",Machine washable at 30°C for easy maintenance and hygiene,95,2026-01-23T05:56:51.050Z,false,"The bullets focus on specific features like memory foam, anatomical shape, and washability that differentiate this product. These aspects are crucial for comfort, convenience, and practicality, making them compelling selling points."
gid://shopify/Product/6935126736977,kentucky-stable-rug-0g,0g Kentucky Horse Rug For Stable,Trailrace Equestrian Outfitters,Horse Rugs,"600D polyester outer resists tearing, ideal for active horses","Artificial rabbit skin lining traps heat, prevents rubbing",Stainless steel buckles withstand 1500N for secure closure,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight specific materials and features like the 600D polyester, artificial rabbit skin lining, and robust buckles, which are unique selling points of the rug. These details differentiate the product by focusing on durability, comfort, and secure fit, which are critical for horse rugs."
gid://shopify/Product/6935126769745,shanga-airflow-combo,Shanga Airflow Combo,Trailrace Equestrian Outfitters,Horse Rugs,Mesh neck and belly panels for optimal airflow and cooling,Ripstop fabric top line provides sun protection for your horse,Satin-lined shoulders and mane to prevent rubbing and chafing,95,2026-01-23T05:56:51.050Z,false,"The bullets focus on specific features like mesh panels, ripstop fabric, and satin lining, highlighting their benefits such as cooling, sun protection, and comfort. These details are directly extracted from the product description, ensuring accuracy and relevance."
gid://shopify/Product/6935127064657,kentucky-show-rug-160g,Kentucky Horse Rug - 160g Show Rug,Trailrace Equestrian Outfitters,Horse Rugs,160g filling with artificial rabbit skin lining for warmth and comfort,Three-layered diamond quilting pattern for enhanced durability,Detachable bungee tail cord with plastic cover for easy cleaning,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the specific materials and design features such as the artificial rabbit skin lining, quilting pattern, and detachable components, which differentiate this rug from others by focusing on comfort, durability, and ease of maintenance."
gid://shopify/Product/6935127097425,shanga-bug-rug-recovery-head-piece,Shanga Bug Rug - Recovery Head Piece,Trailrace Equestrian Outfitters,Horse Rugs,Velcro attachment for seamless combo neck integration,Non-toxic insect repellent effective for 20 washes,Far-Infrared fabric aids in circulation and recovery,95,2026-01-23T05:56:51.050Z,false,"The selected bullet points highlight the unique features and benefits of the product: the Velcro attachment for easy use, the long-lasting non-toxic insect repellent, and the therapeutic benefits of the Far-Infrared fabric. These details provide specific, measurable advantages that differentiate the product from others in the market."
gid://shopify/Product/6935127130193,shanga-bug-rug-recovery-combo,Shanga Bug Rug - Recovery Combo,Trailrace Equestrian Outfitters,Horse Rugs,Ripstop fabric with non-toxic insect repellent effective against 40+ insects,"Far-Infrared fabric aids circulation, reduces soreness, and promotes recovery",Machine washable; retains insect-repelling efficacy for up to 20 washes,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the specific materials and technologies used, such as ripstop fabric and Far-Infrared benefits, which are unique selling points. The insect-repelling feature and washability are also emphasized, aligning with the product's description."
gid://shopify/Product/6935127162961,shanga-light-mesh-set,Shanga Show Rug in Light Mesh Design,Trailrace Equestrian Outfitters,Horse Rugs,"Basketball shirt fabric for lightweight, breathable comfort",Hood and tailbag combo ideal for pre-competition prep,Light mesh design ensures cool airflow during warm months,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the unique 'basketball shirt' fabric, the combo feature for pre-competition use, and the cooling benefits of the light mesh design. These specifics differentiate the rug from generic options."
gid://shopify/Product/6935127195729,shanga-econo-ripstop-combo,Shanga Econo Ripstop Combo,Trailrace Equestrian Outfitters,Horse Rugs,Gusseted shoulder design for enhanced horse movement,Stainless steel fastenings ensure durability and rust resistance,Large tail flap reduces rubbing for added horse comfort,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight specific features like gusseted shoulders, stainless steel fastenings, and a large tail flap, which are key differentiators of the product. These features provide measurable benefits such as improved movement, durability, and comfort, aligning with the product's description and target market."
gid://shopify/Product/6935127228497,shanga-stable-rug,Shanga Stable Rug,Trailrace Equestrian Outfitters,Horse Rugs,200 gm fill for optimal warmth during chilly Australian nights,210 denier outer with reinforced wither for durability and comfort,Stainless steel buckles on dual chest straps ensure secure fit,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight specific features such as the 200 gm fill for warmth, the 210 denier outer for durability, and the use of stainless steel buckles for a secure fit. These are concrete, measurable features that differentiate the Shanga Stable Rug from others in the market."
gid://shopify/Product/6935127261265,shanga-ripstop-combo,Shanga Ripstop Combo,Trailrace Equestrian Outfitters,Horse Rugs,Ripstop fabric ensures durability and longevity in rugged conditions,"Lined mane and shoulders prevent rubs, enhancing horse comfort",Buckles on neck rug with shoulder gusset for unrestricted movement,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the specific features such as the ripstop fabric, lined areas for comfort, and design elements like buckles and gussets that enhance the rug's functionality and appeal to horse owners."
gid://shopify/Product/6935127294033,shanga-white-ripstop-rug,Shanga White Ripstop Rug,Trailrace Equestrian Outfitters,Horse Rugs,Ripstop fabric ensures durability and longevity for active horses,"Lined shoulders prevent rubs, enhancing horse comfort",Shoulder gussets offer freedom of movement for dynamic activity,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight specific features like the ripstop fabric, lined shoulders, and shoulder gussets, which are unique selling points. These features directly address durability, comfort, and mobility, key concerns for horse owners."
gid://shopify/Product/6935127326801,wild-horse-ic-duo-combo,IC Duo Combo Horse Rug by Wild Horse,Trailrace Equestrian Outfitters,Horse Rugs,Poly/Cotton Ripstop for superior strength and durability,Contoured backline and cross surcingles for secure fit,Extended fleece on wither to prevent pressure oedemas,95,2026-01-23T05:56:51.050Z,false,"These bullets highlight the unique features of the IC Duo Combo Horse Rug, such as the specific materials used, the design elements for fit and comfort, and the preventative measures for common equine issues. This information directly addresses the product's benefits and differentiates it from other horse rugs."
gid://shopify/Product/6935127392337,zilco-aircon-combo,Zilco Horse Rug: Aircon Combo,Trailrace Equestrian Outfitters,Horse Rugs,Knitted polyester fabric ensures easy stain removal with cold wash,"Innovative elastic leg straps provide secure, comfortable fit",Satin lining in mane area reduces friction and prevents rubbing,95,2026-01-23T05:56:51.050Z,false,"These bullets highlight specific features such as the fabric's easy care properties, the secure fit from elastic leg straps, and the comfort provided by the satin lining. These features are unique and beneficial, setting the product apart from others."
gid://shopify/Product/6935127425105,stadium-wool-rug,Stadium Show Rug Made Of Wool,Trailrace Equestrian Outfitters,Horse Rugs,425g wool blend for optimal insulation and breathability,Poly/cotton binding ensures durability and a polished look,Available in stylish navy or black with contrasting bindings,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the specific weight and material composition, durability features, and aesthetic options, all of which are key differentiators for the product. These details are directly extracted from the product description, providing clear and measurable benefits."
gid://shopify/Product/6935127457873,zilco-econostop-combo,Zilco Horse Rug: Econostop Combo,Trailrace Equestrian Outfitters,Horse Rugs,250gm polyester ripstop with diamond grid for enhanced durability,Cast steel buckles and die cast clips for secure fit,Polyester satin lining in neck and shoulders for added comfort,95,2026-01-23T05:56:51.050Z,false,"The selected bullet points highlight specific materials and features such as the 250gm polyester ripstop fabric, cast steel buckles, and polyester satin lining, which are key differentiators for durability, security, and comfort. These details are concrete and measurable, aligning with the task requirements."
