url_path,h1_title,meta_title,meta_description,short_description,long_description,breadcrumb_label,parent_url,category_level,status,default_sort,faq_json,related_categories_json
/horse,Horse,Horse | The Equestrian,"Shop premium horse including saddles, rugs, boots and tack. Free shipping Australia-wide. Expert advice available. Find the perfect gear for your needs.",Browse our extensive range of horse products.,"<h2>Premium Horse</h2><p>Welcome to our complete horse collection. We've assembled everything you need in one place - from everyday essentials to competition-grade equipment. Every product has been carefully selected by our expert team who understand the unique demands of equine care. Browse our specialized categories below to find exactly what you're looking for.</p><h3>What Makes Great Horse?</h3><ul><li><strong>Premium Quality:</strong> Expertly crafted from the finest materials for lasting performance</li><li><strong>Functional Design:</strong> Thoughtfully engineered to meet the specific needs of horses and riders</li><li><strong>Trusted Brands:</strong> Products from manufacturers with proven track records in equestrian sports</li><li><strong>Value:</strong> Investment pieces that deliver exceptional performance over time</li></ul><h3>Shop by Category</h3><p>Explore our specialized departments including <a href=""/horse/boots"">horse boots</a>, <a href=""/horse/bits"">bits</a>,<a href=""/horse/grooming"">grooming</a>, and <a href=""/horse/supplements"">supplements</a>, plus 11 more specialized categories. Each department is stocked with premium products from the world's leading brands.</p>",Horse,,1,published,best-selling,"[{""question"":""How do I choose the right horse?"",""answer"":""Consider your specific needs, budget, and intended use. Read product descriptions carefully and check sizing information. Our customer reviews provide valuable insights from real users. If you're unsure, our expert team is always happy to provide personalized recommendations.""},{""question"":""Do you offer free shipping on horse?"",""answer"":""Yes! We offer free shipping on all orders within Australia. Orders are typically processed within 1-2 business days. For urgent needs, express shipping options are available at checkout.""}]",[]
/rider,Rider,Rider | The Equestrian,"Shop premium rider including helmets, boots, gloves and safety vests. Free shipping Australia-wide. Expert advice available. Find the perfect gear for your...",Browse our extensive range of rider products.,"<h2>Premium Rider</h2><p>Welcome to our complete rider collection. We've assembled everything you need in one place - from everyday essentials to competition-grade equipment. Every product has been carefully selected by our expert team who understand the unique demands of riders. Browse our specialized categories below to find exactly what you're looking for.</p><h3>What Makes Great Rider?</h3><ul><li><strong>Safety First:</strong> Certified protection that meets or exceeds industry standards</li><li><strong>Comfort:</strong> Ergonomic designs that you'll actually want to wear</li><li><strong>Quality Construction:</strong> Attention to detail that ensures longevity and reliability</li><li><strong>Professional Standards:</strong> Competition-approved gear trusted by top riders</li></ul><h3>Shop by Category</h3><p>Explore our specialized departments including <a href=""/rider/helmets"">helmets</a>, <a href=""/rider/giftware"">giftware</a>,<a href=""/rider/jewellery"">jewellery</a>, and <a href=""/rider/gloves"">gloves</a>, plus 7 more specialized categories. Each department is stocked with premium products from the world's leading brands.</p>",Rider,,1,published,best-selling,"[{""question"":""How do I choose the right rider?"",""answer"":""Consider your riding discipline, frequency, and personal preferences. Safety should always come first - look for certified products that meet current standards. Comfort is also crucial as you're more likely to use gear that feels good. Our team can help match you with the perfect rider for your needs.""},{""question"":""Are these products competition-approved?"",""answer"":""Most of our rider meet or exceed competition standards, but requirements vary by discipline and level. Check specific product descriptions for certification details, or contact us to confirm if an item is suitable for your competition needs.""}]","[{""url"":""/clothing/womens"",""title"":""Ladies' Riding Clothing"",""description"":""Complete your riding wardrobe""},{""url"":""/horse/tack"",""title"":""Horse Tack"",""description"":""Quality tack for horse and rider""}]"
/clothing,Clothing,Clothing | The Equestrian,"Shop premium clothing including breeches, jodhpurs, riding tops and jackets. Free shipping Australia-wide. Expert advice available. Find the perfect gear...",Browse our extensive range of clothing products.,"<h2>Premium Clothing</h2><p>Welcome to our complete clothing collection. We've assembled everything you need in one place - from everyday essentials to competition-grade equipment. Every product has been carefully selected by our expert team who understand the unique demands of the equestrian lifestyle. Browse our specialized categories below to find exactly what you're looking for.</p><h3>What Makes Great Clothing?</h3><ul><li><strong>Technical Fabrics:</strong> Advanced moisture-wicking and breathable materials that keep you comfortable in the saddle</li><li><strong>Perfect Fit:</strong> Designed specifically for riding with stretch panels and reinforced seams where you need them most</li><li><strong>Durability:</strong> Built to withstand daily wear, frequent washing, and the demands of equestrian life</li><li><strong>Style:</strong> Look professional in the arena and fashionable at the barn with timeless designs</li></ul><h3>Shop by Category</h3><p>Explore our specialized departments including <a href=""/clothing/womens"">clothing - ladies clothing</a>, <a href=""/clothing/mens"">clothing - men's clothing</a>,<a href=""/clothing/kids"">clothing - kid's clothing</a>, and <a href=""/clothing/accessories"">clothing - clothing accessories</a>, plus 5 more specialized categories. Each department is stocked with premium products from the world's leading brands.</p>",Clothing,,1,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]",[]
/pet,Pet,Pet | The Equestrian,"Shop premium pet including dog treats, cat toys, bird supplies and small animal bedding. Free shipping Australia-wide. Expert advice available. Find the...",Browse our extensive range of pet products.,"<h2>Premium Pet</h2><p>Welcome to our complete pet collection. We've assembled everything you need in one place - from everyday essentials to competition-grade equipment. Every product has been carefully selected by our expert team who understand the unique demands of pet owners. Browse our specialized categories below to find exactly what you're looking for.</p><h3>What Makes Great Pet?</h3><ul><li><strong>Quality Materials:</strong> Durable construction that stands up to daily use</li><li><strong>Thoughtful Design:</strong> Features that make a real difference in performance</li><li><strong>Expert Selection:</strong> Carefully chosen products from trusted manufacturers</li><li><strong>Great Value:</strong> Competitive pricing without compromising on quality</li></ul><h3>Shop by Category</h3><p>Explore our specialized departments including <a href=""/pet/dog"">dogs</a>, <a href=""/pet/cat"">cat</a>,<a href=""/pet/bird"">bird assorted</a>, and <a href=""/pet/small-animal"">small animal</a>, plus 3 more specialized categories. Each department is stocked with premium products from the world's leading brands.</p>",Pet,,1,published,best-selling,"[{""question"":""How do I choose the right pet?"",""answer"":""Consider your specific needs, budget, and intended use. Read product descriptions carefully and check sizing information. Our customer reviews provide valuable insights from real users. If you're unsure, our expert team is always happy to provide personalized recommendations.""},{""question"":""Do you offer free shipping on pet?"",""answer"":""Yes! We offer free shipping on all orders within Australia. Orders are typically processed within 1-2 business days. For urgent needs, express shipping options are available at checkout.""}]",[]
/accessories,Accessories,Accessories | The Equestrian,Shop premium accessories from top brands. Free shipping Australia-wide. Expert advice available. Find the perfect gear for your needs.,Browse our extensive range of accessories products.,"<h2>Premium Accessories</h2><p>Welcome to our complete accessories collection. We've assembled everything you need in one place - from everyday essentials to competition-grade equipment. Every product has been carefully selected by our expert team who understand the unique demands of the equestrian lifestyle. Browse our specialized categories below to find exactly what you're looking for.</p><h3>What Makes Great Accessories?</h3><ul><li><strong>Quality Materials:</strong> Durable construction that stands up to daily use</li><li><strong>Thoughtful Design:</strong> Features that make a real difference in performance</li><li><strong>Expert Selection:</strong> Carefully chosen products from trusted manufacturers</li><li><strong>Great Value:</strong> Competitive pricing without compromising on quality</li></ul><h3>Shop by Category</h3><p>Explore our specialized departments including <a href=""/accessories/collectibles"">the trail of painted ponies</a>, <a href=""/accessories/books"">books & magazines</a>,<a href=""/accessories/gifts"">gift set</a>, and <a href=""/accessories/gift-cards"">gift card</a>, plus 1 more specialized categories. Each department is stocked with premium products from the world's leading brands.</p>",Accessories,,1,published,best-selling,"[{""question"":""How do I choose the right accessories?"",""answer"":""Consider your specific needs, budget, and intended use. Read product descriptions carefully and check sizing information. Our customer reviews provide valuable insights from real users. If you're unsure, our expert team is always happy to provide personalized recommendations.""},{""question"":""Do you offer free shipping on accessories?"",""answer"":""Yes! We offer free shipping on all orders within Australia. Orders are typically processed within 1-2 business days. For urgent needs, express shipping options are available at checkout.""}]",[]
/clothing/womens,Womens & Ladies Clothing,Ladies Clothing | Buy Online | The Equestrian,"Shop premium womens & ladies clothing including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert...","Browse our extensive range of clothing - ladies clothing. Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<h2>Premium Clothing - Ladies Clothing</h2><p>Discover our comprehensive collection of clothing - ladies clothing, carefully curated to meet the demands of equestrians at every level. From competition-ready gear to everyday essentials, we stock only the finest brands known for quality, durability, and performance. Each product has been expertly selected by our team of experienced professionals who understand what truly matters.</p><h3>What Makes Great Clothing - Ladies Clothing?</h3><ul><li><strong>Technical Fabrics:</strong> Advanced moisture-wicking and breathable materials that keep you comfortable in the saddle</li><li><strong>Perfect Fit:</strong> Designed specifically for riding with stretch panels and reinforced seams where you need them most</li><li><strong>Durability:</strong> Built to withstand daily wear, frequent washing, and the demands of equestrian life</li><li><strong>Style:</strong> Look professional in the arena and fashionable at the barn with timeless designs</li></ul><h3>Shop by Type</h3><p>Browse our specialized categories including <a href=""/clothing/womens/breeches"">jodhpurs & breeches ladies</a>,<a href=""/clothing/womens/tights"">tights</a>, and <a href=""/clothing/womens/tops"">ladies shirt</a>. Each category features products from world-leading brands trusted by professional enthusiasts.</p>",Ladies & Women,/clothing,2,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
/clothing/womens/breeches,Jodhpurs & Breeches Ladies,Jodhpurs & Breeches Ladies | Premium Quality | The Equestrian,"Shop premium jodhpurs & breeches ladies including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert...","Browse our extensive range of jodhpurs & breeches ladies. Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<h2>Premium Jodhpurs & Breeches Ladies</h2><p>Welcome to our specialized jodhpurs & breeches ladies collection. Whether you're a seasoned professional or just starting out, finding the right jodhpurs & breeches ladies makes all the difference. We've assembled an exceptional range that combines cutting-edge technology with time-tested designs.</p><h3>What Makes Great Jodhpurs & Breeches Ladies?</h3><ul><li><strong>Technical Fabrics:</strong> Advanced moisture-wicking and breathable materials that keep you comfortable in the saddle</li><li><strong>Perfect Fit:</strong> Designed specifically for riding with stretch panels and reinforced seams where you need them most</li><li><strong>Durability:</strong> Built to withstand daily wear, frequent washing, and the demands of equestrian life</li><li><strong>Style:</strong> Look professional in the arena and fashionable at the barn with timeless designs</li></ul>",,/clothing/womens,3,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
/clothing/womens/tights,Tights,Tights | Premium Quality | The Equestrian,"Shop premium tights including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert advice available.","Browse our extensive range of tights. Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<h2>Premium Tights</h2><p>Welcome to our specialized tights collection. Whether you're a seasoned professional or just starting out, finding the right tights makes all the difference. We've assembled an exceptional range that combines cutting-edge technology with time-tested designs.</p><h3>What Makes Great Tights?</h3><ul><li><strong>Technical Fabrics:</strong> Advanced moisture-wicking and breathable materials that keep you comfortable in the saddle</li><li><strong>Perfect Fit:</strong> Designed specifically for riding with stretch panels and reinforced seams where you need them most</li><li><strong>Durability:</strong> Built to withstand daily wear, frequent washing, and the demands of equestrian life</li><li><strong>Style:</strong> Look professional in the arena and fashionable at the barn with timeless designs</li></ul>",,/clothing/womens,3,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
/clothing/womens/tops,Ladies Shirt,Ladies Shirt | Premium Quality | The Equestrian,"Shop premium ladies shirt including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert advice available.","Browse our extensive range of ladies shirt. Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<h2>Premium Ladies Shirt</h2><p>Welcome to our specialized ladies shirt collection. Whether you're a seasoned professional or just starting out, finding the right ladies shirt makes all the difference. We've assembled an exceptional range that combines cutting-edge technology with time-tested designs.</p><h3>What Makes Great Ladies Shirt?</h3><ul><li><strong>Technical Fabrics:</strong> Advanced moisture-wicking and breathable materials that keep you comfortable in the saddle</li><li><strong>Perfect Fit:</strong> Designed specifically for riding with stretch panels and reinforced seams where you need them most</li><li><strong>Durability:</strong> Built to withstand daily wear, frequent washing, and the demands of equestrian life</li><li><strong>Style:</strong> Look professional in the arena and fashionable at the barn with timeless designs</li></ul>",,/clothing/womens,3,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
/clothing/womens/casual,Casual Clothing Ladies,Casual Clothing Ladies | Premium Quality | The Equestrian,"Shop premium casual clothing ladies including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert...","Browse our extensive range of casual clothing ladies. Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<h2>Premium Casual Clothing Ladies</h2><p>Welcome to our specialized casual clothing ladies collection. Whether you're a seasoned professional or just starting out, finding the right casual clothing ladies makes all the difference. We've assembled an exceptional range that combines cutting-edge technology with time-tested designs.</p><h3>What Makes Great Casual Clothing Ladies?</h3><ul><li><strong>Technical Fabrics:</strong> Advanced moisture-wicking and breathable materials that keep you comfortable in the saddle</li><li><strong>Perfect Fit:</strong> Designed specifically for riding with stretch panels and reinforced seams where you need them most</li><li><strong>Durability:</strong> Built to withstand daily wear, frequent washing, and the demands of equestrian life</li><li><strong>Style:</strong> Look professional in the arena and fashionable at the barn with timeless designs</li></ul>",,/clothing/womens,3,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
