url_path,h1_title,meta_title,meta_description,short_description,long_description,breadcrumb_label,parent_url,category_level,status,default_sort,faq_json,related_categories_json
/horse,Horse,Horse | The Equestrian,"Shop premium horse including horse boots, horse boots & bandages, horse boots & leg wraps, bits. Free shipping Australia-wide. Expert advice available.","Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<h2>Premium Horse</h2>
<p>Browse our specialized collection. All products in stock and ready to ship. Most orders dispatched within 24 hours Australia-wide.</p><h3>What Makes Great Horse?</h3>
<ul>
<li><strong>Premium Quality:</strong> Expertly crafted from the finest materials for lasting performance</li>
<li><strong>Functional Design:</strong> Thoughtfully engineered to meet the specific needs of horses and riders</li>
<li><strong>Trusted Brands:</strong> Products from manufacturers with proven track records</li>
<li><strong>Australian Ready:</strong> Suitable for our unique climate and conditions</li>
</ul>
",Horse,,1,published,best-selling,"[{""question"":""What horse do you stock?"",""answer"":""We stock a comprehensive range of horse from leading brands. All products are carefully selected for quality, durability, and performance. Browse our collection to find exactly what you need.""},{""question"":""Do you offer free shipping on horse?"",""answer"":""Yes! We offer free shipping Australia-wide on all orders. Most orders are dispatched within 24 hours, so you'll receive your horse quickly.""}]",[]
/rider,Rider,Rider | The Equestrian,"Shop premium rider including helmets, boots, gloves and safety vests. Free shipping Australia-wide. Expert advice available. Find the perfect gear for your...",Browse our extensive range of rider products.,"<h2>Essential Rider</h2>
<p>Discover our collection featuring safety-certified products from leading equestrian brands. Fast dispatch across Australia.</p><h3>What Makes Great Rider?</h3><ul><li><strong>Safety First:</strong> Certified protection that meets or exceeds industry standards</li><li><strong>Comfort:</strong> Ergonomic designs that you'll actually want to wear</li><li><strong>Quality Construction:</strong> Attention to detail that ensures longevity and reliability</li><li><strong>Professional Standards:</strong> Competition-approved gear trusted by top riders</li></ul><h3>Shop by Category</h3><p>Explore our specialized departments including <a href=""/rider/helmets"">helmets</a>, <a href=""/rider/giftware"">giftware</a>,<a href=""/rider/jewellery"">jewellery</a>, and <a href=""/rider/gloves"">gloves</a>, plus 7 more specialized categories. Each department is stocked with premium products from the world's leading brands.</p>",Rider,,1,published,best-selling,"[{""question"":""How do I choose the right rider?"",""answer"":""Consider your riding discipline, frequency, and personal preferences. Safety should always come first - look for certified products that meet current standards. Comfort is also crucial as you're more likely to use gear that feels good. Our team can help match you with the perfect rider for your needs.""},{""question"":""Are these products competition-approved?"",""answer"":""Most of our rider meet or exceed competition standards, but requirements vary by discipline and level. Check specific product descriptions for certification details, or contact us to confirm if an item is suitable for your competition needs.""}]","[{""url"":""/clothing/womens"",""title"":""Ladies' Riding Clothing"",""description"":""Complete your riding wardrobe""},{""url"":""/horse/tack"",""title"":""Horse Tack"",""description"":""Quality tack for horse and rider""}]"
/clothing,Clothing,Clothing | The Equestrian,"Shop premium clothing including breeches, jodhpurs, riding tops and jackets. Free shipping Australia-wide. Expert advice available. Find the perfect gear...",Browse our extensive range of clothing products.,"<h2>Stylish Clothing</h2>
<p>Explore our range designed for quality and performance. Trusted brands with fast Australian shipping.</p><h3>What Makes Great Clothing?</h3><ul><li><strong>Technical Fabrics:</strong> Advanced moisture-wicking and breathable materials that keep you comfortable in the saddle</li><li><strong>Perfect Fit:</strong> Designed specifically for riding with stretch panels and reinforced seams where you need them most</li><li><strong>Durability:</strong> Built to withstand daily wear, frequent washing, and the demands of equestrian life</li><li><strong>Style:</strong> Look professional in the arena and fashionable at the barn with timeless designs</li></ul><h3>Shop by Category</h3><p>Explore our specialized departments including <a href=""/clothing/womens"">womens & ladies clothing</a>, <a href=""/clothing/mens"">men's clothing</a>,<a href=""/clothing/kids"">kid's clothing</a>, and <a href=""/clothing/accessories"">clothing accessories</a>, plus 5 more specialized categories. Each department is stocked with premium products from the world's leading brands.</p>",Clothing,,1,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]",[]
/pet,Pet,Pet | The Equestrian,"Shop premium pet including dog collars & leads, dog toys, dog treats, treats. Free shipping Australia-wide. Expert pet advice available. Find quality products for your pet.",Expertly selected for quality and your pet's wellbeing. Find exactly what your pet needs at The Equestrian.,"<h2>Quality Pet</h2>
<p>Discover our comprehensive pet collection, carefully curated for quality and pet wellbeing. We stock only trusted brands. All products in stock and ready to ship Australia-wide.</p><h3>What Makes Great Pet?</h3>
<ul>
<li><strong>Premium Quality:</strong> Expertly selected products for your pet's comfort and happiness</li>
<li><strong>Trusted Brands:</strong> Products from manufacturers known for pet safety and quality</li>
<li><strong>Practical Design:</strong> Thoughtfully engineered for pets and their owners</li>
<li><strong>Great Value:</strong> Durable products that provide long-lasting use</li>
</ul>
<h3>Shop by Category</h3>
<p>Browse our specialized categories including <a href=""/pet/dog"">dogs</a>, <a href=""/pet/cat"">cat</a>, <a href=""/pet/bird"">bird assorted</a>, <a href=""/pet/small-animal"">small animal</a>, <a href=""/pet/poultry"">poultry</a>. Each category features products from trusted pet brands.</p>
",Pet,,1,published,best-selling,"[{""question"":""What pet do you stock?"",""answer"":""We stock a comprehensive range of pet from leading pet brands. All products are carefully selected for quality, safety, and pet wellbeing. Browse our collection to find exactly what you need.""},{""question"":""Do you offer free shipping on pet?"",""answer"":""Yes! We offer free shipping Australia-wide on all orders. Most orders are dispatched within 24 hours, so you'll receive your pet quickly.""}]",[]
/accessories,Accessories,Accessories | The Equestrian,"Shop premium accessories including the trail of painted ponies, books & magazines, books, horsewares. Free shipping Australia-wide. Expert advice available.",Browse our extensive range of accessories products.,"<h2>Premium Accessories</h2>
<p>Browse our specialized collection. All products in stock and ready to ship. Most orders dispatched within 24 hours Australia-wide.</p><h3>What Makes Great Accessories?</h3>
<ul>
<li><strong>Premium Quality:</strong> Expertly crafted from the finest materials for lasting performance</li>
<li><strong>Functional Design:</strong> Thoughtfully engineered to meet the specific needs of horses and riders</li>
<li><strong>Trusted Brands:</strong> Products from manufacturers with proven track records</li>
<li><strong>Australian Ready:</strong> Suitable for our unique climate and conditions</li>
</ul>
",Accessories,,1,published,best-selling,"[{""question"":""What accessories do you stock?"",""answer"":""We stock a comprehensive range of accessories from leading brands. All products are carefully selected for quality, durability, and performance. Browse our collection to find exactly what you need.""},{""question"":""Do you offer free shipping on accessories?"",""answer"":""Yes! We offer free shipping Australia-wide on all orders. Most orders are dispatched within 24 hours, so you'll receive your accessories quickly.""}]",[]
/clothing/womens,Womens & Ladies Clothing,Ladies Clothing | Buy Online | The Equestrian,"Shop premium womens & ladies clothing including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert...","Clothing - ladies clothing. Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<h2>Stylish Womens & Ladies Clothing</h2>
<p>Discover our comprehensive collection, carefully curated to meet the demands of equestrians at every level. From competition-ready gear to everyday essentials, we stock only the finest brands known for quality, durability, and performance. Each product has been expertly selected by our team of experienced professionals who understand what truly matters.</p><h3>What Makes Great Womens & Ladies Clothing?</h3><ul><li><strong>Technical Fabrics:</strong> Advanced moisture-wicking and breathable materials that keep you comfortable in the saddle</li><li><strong>Perfect Fit:</strong> Designed specifically for riding with stretch panels and reinforced seams where you need them most</li><li><strong>Durability:</strong> Built to withstand daily wear, frequent washing, and the demands of equestrian life</li><li><strong>Style:</strong> Look professional in the arena and fashionable at the barn with timeless designs</li></ul><h3>Shop by Type</h3><p>Browse our specialized categories including <a href=""/clothing/womens/breeches"">jodhpurs & breeches ladies</a>,<a href=""/clothing/womens/tights"">tights</a>, and <a href=""/clothing/womens/tops"">ladies shirt</a>. Each category features products from world-leading brands trusted by professional enthusiasts.</p>",Ladies & Women,/clothing,2,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
/clothing/womens/breeches,Jodhpurs & Breeches Ladies,Jodhpurs & Breeches Ladies | Premium Quality | The Equestrian,"Shop premium jodhpurs & breeches ladies including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert...","Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<h2>Stylish Jodhpurs & Breeches Ladies</h2>
<p>Browse our specialized collection. All products in stock and ready to ship. Most orders dispatched within 24 hours Australia-wide.</p><h3>What Makes Great Jodhpurs & Breeches Ladies?</h3><ul><li><strong>Technical Fabrics:</strong> Advanced moisture-wicking and breathable materials that keep you comfortable in the saddle</li><li><strong>Perfect Fit:</strong> Designed specifically for riding with stretch panels and reinforced seams where you need them most</li><li><strong>Durability:</strong> Built to withstand daily wear, frequent washing, and the demands of equestrian life</li><li><strong>Style:</strong> Look professional in the arena and fashionable at the barn with timeless designs</li></ul>",,/clothing/womens,3,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
/clothing/womens/tights,Tights,Tights | Premium Quality | The Equestrian,"Shop premium tights including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert advice available.","Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<h2>Stylish Tights</h2>
<p>Browse our specialized collection. All products in stock and ready to ship. Most orders dispatched within 24 hours Australia-wide.</p><h3>What Makes Great Tights?</h3><ul><li><strong>Technical Fabrics:</strong> Advanced moisture-wicking and breathable materials that keep you comfortable in the saddle</li><li><strong>Perfect Fit:</strong> Designed specifically for riding with stretch panels and reinforced seams where you need them most</li><li><strong>Durability:</strong> Built to withstand daily wear, frequent washing, and the demands of equestrian life</li><li><strong>Style:</strong> Look professional in the arena and fashionable at the barn with timeless designs</li></ul>",,/clothing/womens,3,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
/clothing/womens/tops,Ladies Shirt,Ladies Shirt | Premium Quality | The Equestrian,"Shop premium ladies shirt including ladies shirts, ladies tops. Free shipping Australia-wide. Expert advice available. Find the perfect gear for your needs.","Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<h2>Stylish Ladies Shirt</h2>
<p>Browse our specialized collection. All products in stock and ready to ship. Most orders dispatched within 24 hours Australia-wide.</p><h3>What Makes Great Ladies Shirt?</h3>
<ul>
<li><strong>Technical Fabrics:</strong> Advanced moisture-wicking and breathable materials that keep you comfortable in the saddle</li>
<li><strong>Perfect Fit:</strong> Designed specifically for riding with stretch panels and reinforced seams where you need them most</li>
<li><strong>Durability:</strong> Built to withstand the demands of daily riding and competition</li>
<li><strong>Professional Style:</strong> Classic designs that look sharp in the arena or stable yard</li>
</ul>
",,/clothing/womens,3,published,best-selling,"[{""question"":""What ladies shirt do you stock?"",""answer"":""We stock a comprehensive range of ladies shirt from leading brands. All products are carefully selected for quality, durability, and performance. Browse our collection to find exactly what you need.""},{""question"":""Do you offer free shipping on ladies shirt?"",""answer"":""Yes! We offer free shipping Australia-wide on all orders. Most orders are dispatched within 24 hours, so you'll receive your ladies shirt quickly.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
/clothing/womens/casual,Casual Clothing Ladies,Casual Clothing Ladies | Premium Quality | The Equestrian,"Shop premium casual clothing ladies including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert...","Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<h2>Stylish Casual Clothing Ladies</h2>
<p>Browse our specialized collection. All products in stock and ready to ship. Most orders dispatched within 24 hours Australia-wide.</p><h3>What Makes Great Casual Clothing Ladies?</h3><ul><li><strong>Technical Fabrics:</strong> Advanced moisture-wicking and breathable materials that keep you comfortable in the saddle</li><li><strong>Perfect Fit:</strong> Designed specifically for riding with stretch panels and reinforced seams where you need them most</li><li><strong>Durability:</strong> Built to withstand daily wear, frequent washing, and the demands of equestrian life</li><li><strong>Style:</strong> Look professional in the arena and fashionable at the barn with timeless designs</li></ul>",,/clothing/womens,3,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
