shopify_id,handle,title,vendor,current_type,suggested_type,confidence,validation_status,reasoning,alternative_types,cat_title,cat_slug,current_canonical_url,proposed_canonical_url,redirect_required,redirect_from,redirect_to,tags,collections,model_used,vision_escalated,suggested_brand_handles
gid://shopify/Product/6930798870609,shanga-mesh-combo,Shanga Mesh Combo,Trailrace Equestrian Outfitters,Horse Rugs,Mesh Rug,90,auto,"The product is described as a 'Light weight full mesh combo' and is categorized under 'horse-rugs'. The description emphasizes its use as a protective mesh rug for horses in warmer climates, aligning with the 'Mesh Rug' type.","Horse Rug; RUGS: Summer Rugs, Neck Rugs & Hoods",Horse > Rug > Mesh Rug,/horse/rugs/mesh,/horse/rugs/shanga-mesh-combo,/horse/rugs/mesh/shanga-mesh-combo,yes,/horse/rugs/shanga-mesh-combo,/horse/rugs/mesh/shanga-mesh-combo,46; 50; 53; 56; 59,horse-rugs; trailrace-equestrian-outfitters; on-sale,gpt-4o,no,
gid://shopify/Product/6930798936145,shanga-towel-rug,Shanga Towel Rug,Trailrace Equestrian Outfitters,Horse Rugs,Horse Rugs,95,auto,"The product is described as a 'Shanga Towel Rug' specifically for horses, used after washing or workouts. It is listed under the 'horse-rugs' collection, confirming its classification as a horse rug.",Rug; Rugs; Horse Rug,Horse > Rug,/horse/rugs,/horse/rugs/shanga-towel-rug,/horse/rugs/shanga-towel-rug,no,,,"40; 43; 46; 49; 5'6""",horse-rugs; trailrace-equestrian-outfitters; globo_basis_collection,gpt-4o,no,
gid://shopify/Product/6931726008401,007-mineral-salt-blocks,007 Mineral Salt Blocks by Essential Minerals - Get a Quote Today,Trailrace Equestrian Outfitters,Stable Accessories,Horse Health & Tack Care,85,auto,"The product is a mineral salt block intended for horse health, specifically providing essential minerals and trace elements to improve vigor, stamina, and bone strength. The tags and description emphasize its role in horse health, making 'Horse Health & Tack Care' the most specific type.",Stable Accessories; Supplements,Horse > Coat and Hoof care,/horse/veterinary,/horse/stable/007-mineral-salt-blocks,/horse/veterinary/007-mineral-salt-blocks,yes,/horse/stable/007-mineral-salt-blocks,/horse/veterinary/007-mineral-salt-blocks,2kg; australia only; EOFY22; horse health; Salt Blocks,horse-health; trailrace-equestrian-outfitters; on-sale,gpt-4o,no,
gid://shopify/Product/6935106814033,ca-coolite-rug,Coolite Show Rug CA,Trailrace Equestrian Outfitters,Horse Rugs,Horse Rugs,95,auto,"The product is described as a multi-purpose rug for horses, suitable for use as a cooler, stable rug, and flysheet. It is part of the 'horse-rugs' collection and is explicitly referred to as a 'rug' multiple times in the description and tags.","RUGS: Summer Rugs, Neck Rugs & Hoods; RUGS: Winter Rugs, Neck Rugs & Hoods",Horse > Rug,/horse/rugs,/horse/rugs/ca-coolite-rug,/horse/rugs/ca-coolite-rug,no,,,135cm; 145cm; ahlman; australia only; choc/grey,horse-rugs; trailrace-equestrian-outfitters; on-sale,gpt-4o,no,
gid://shopify/Product/6935126278225,eureka-mini-canvas-rug,Canvas Mini Rug - Eureka,Trailrace Equestrian Outfitters,Horse Rugs,Horse Rugs,95,auto,"The product is a 'Canvas Mini Rug' specifically designed for horses, as indicated by the title, tags, and collections. The description further supports this by detailing features like surcingle, wool blend lining, and removable leg straps, which are typical for horse rugs. The canonical collection hint 'horse/rugs' and the current type 'Horse Rugs' also align with this classification.","RUGS: Winter Rugs, Neck Rugs & Hoods; Winter Rugs",Horse > Rug,/horse/rugs,/horse/rugs/eureka-mini-canvas-rug,/horse/rugs/eureka-mini-canvas-rug,no,,,36; 39; 40; australia only; Canvas,horse-rugs; trailrace-equestrian-outfitters; globo_basis_collection,gpt-4o,no,
gid://shopify/Product/6935126310993,eureka-mini-synthetic-combo,Synthetic Combo Horse Rug - Eureka Mini,Trailrace Equestrian Outfitters,Horse Rugs,Horse Rugs,95,auto,"The product is described as a 'Synthetic Combo Horse Rug' specifically for miniature horses, and it is listed under the 'horse-rugs' collection. The description emphasizes its use as a rug for horses, confirming it fits the 'Horse Rugs' category.",Rugs; Winter Rugs,Horse > Rug,/horse/rugs,/horse/rugs/eureka-mini-synthetic-combo,/horse/rugs/eureka-mini-synthetic-combo,no,,,33; 36; 39; 40; australia only,horse-rugs; trailrace-equestrian-outfitters; on-sale,gpt-4o,no,
gid://shopify/Product/6935126343761,hamilton-canvas-rugs,Hamilton Show Rug Canvas,Trailrace Equestrian Outfitters,Horse Rugs,Horse Rugs,95,auto,"The product is described as a 'Hamilton Show Rug Canvas' and is listed under collections like 'horse-rugs'. The tags also include 'horse rug' and 'Rugs', confirming it is a type of horse rug.",Rugs; Horse Rug; RUGS: Rug Accessories,Horse > Rug,/horse/rugs,/horse/rugs/hamilton-canvas-rugs,/horse/rugs/hamilton-canvas-rugs,no,,,59; 60; australia only; Canvas; cotton,horse-rugs; trailrace-equestrian-outfitters; on-sale,gpt-4o,no,
gid://shopify/Product/6935126376529,collar-check-rug-hood-and-tail-bag-set,"Check Collar Show Rug, Hood, and Tail Bag Set",Trailrace Equestrian Outfitters,Horse Rugs,Horse Rugs,95,auto,"The product is a set that includes a rug, hood, and tail bag, specifically designed for show day, which aligns with the 'Horse Rugs' category. The canonical collection hint and the vendor's focus on equestrian products further support this classification.","RUGS: Rug Accessories; RUGS: Summer Rugs, Neck Rugs & Hoods",Horse > Rug,/horse/rugs,/horse/rugs/collar-check-rug-hood-and-tail-bag-set,/horse/rugs/collar-check-rug-hood-and-tail-bag-set,no,,,"4'9""; 43; 46; 50; 53",horse-rugs; trailrace-equestrian-outfitters; on-sale,gpt-4o,no,
gid://shopify/Product/6935126409297,kentucky-horsewear-heavy-fleece-rug,Heavy Fleece Show Kentucky Horse Rug From Horsewear,Trailrace Equestrian Outfitters,Horse Rugs,Horse Rugs,95,auto,"The product is described as a 'Kentucky Fleece Rug Heavy' and is listed under the 'horse-rugs' collection. The description emphasizes its use as a rug for horses, specifically mentioning features like detachable surcingles and artificial sheepskin, which are typical of horse rugs. The vendor and collections further support this classification.","RUGS: Winter Rugs, Neck Rugs & Hoods; RUGS: Summer Rugs, Neck Rugs & Hoods",Horse > Rug,/horse/rugs,/horse/rugs/kentucky-horsewear-heavy-fleece-rug,/horse/rugs/kentucky-horsewear-heavy-fleece-rug,no,,,59; 60; 63; 66; 69,horse-rugs; trailrace-equestrian-outfitters; kentucky,gpt-4o,no,kentucky; horseware-australia
gid://shopify/Product/6935126442065,kentucky-horsewear-magnetic-rug-recuptex,Kentucky Horsewear Recuptex Magnetic Horse Boots,Trailrace Equestrian Outfitters,Horse Rugs,Therapy Boots,85,auto,"The product is described as 'Kentucky Horsewear Recuptex Magnetic Horse Boots' and uses magnetic technology to aid recovery, which aligns with 'Therapy Boots'. The mention of 'Magnetic Stable Boots Recuptex' further supports this classification. Although the current type is 'Horse Rugs', the primary focus is on the therapeutic boot aspect.",Horse Boots; Magnetic Boots; Horse Rugs,Horse > HORSE: Horse Boots > Infrared Therapy,/horse/boots/therapy,/horse/rugs/kentucky-horsewear-magnetic-rug-recuptex,/horse/boots/therapy/kentucky-horsewear-magnetic-rug-recuptex,yes,/horse/rugs/kentucky-horsewear-magnetic-rug-recuptex,/horse/boots/therapy/kentucky-horsewear-magnetic-rug-recuptex,59; 60; 63; 66; 69,horse-rugs; horse-boots; trailrace-equestrian-outfitters,gpt-4o,no,kentucky
gid://shopify/Product/6935126474833,kentucky-horsewear-mesh-cooler-combo,Kentucky Horsewear's Mesh Cooler Combo Show Rug,Trailrace Equestrian Outfitters,Horse Rugs,Horse Rugs,95,auto,"The product is described as a 'Mesh Cooler Combo Show Rug' and is listed under the 'horse-rugs' collection. It is specifically designed for cooling down horses, drying them after training or bathing, and providing comfort during transport, which aligns with the function of a horse rug.","RUGS: Summer Rugs, Neck Rugs & Hoods; RUGS: Winter Rugs, Neck Rugs & Hoods",Horse > Rug,/horse/rugs,/horse/rugs/kentucky-horsewear-mesh-cooler-combo,/horse/rugs/kentucky-horsewear-mesh-cooler-combo,no,,,59; 60; 63; 66; 69,horse-rugs; trailrace-equestrian-outfitters; kentucky,gpt-4o,no,kentucky
gid://shopify/Product/6935126540369,kentucky-horsewear-mesh-fly-combo,Kentucky Horsewear Mesh Fly Combo,Trailrace Equestrian Outfitters,Horse Rugs,Fly mask,80,auto,"The product is a fly rug designed to protect horses from insects, which aligns with the purpose of a fly mask. The title and description emphasize its function against insects, and it is part of the 'horse-rugs' collection, suggesting a protective covering for horses.","Horse Rug; RUGS: Summer Rugs, Neck Rugs & Hoods",Horse > Ear Net > Fly mask,/horse/bonnets/fly-masks,/horse/rugs/kentucky-horsewear-mesh-fly-combo,/horse/bonnets/fly-masks/kentucky-horsewear-mesh-fly-combo,yes,/horse/rugs/kentucky-horsewear-mesh-fly-combo,/horse/bonnets/fly-masks/kentucky-horsewear-mesh-fly-combo,52163; 59; 60; 63; 66,horse-rugs; trailrace-equestrian-outfitters; kentucky,gpt-4o,no,kentucky
gid://shopify/Product/6935126573137,kentucky-rug-tail-cord,Cord Tail Kentucky Horse Rug,Trailrace Equestrian Outfitters,Horse Rugs - Rug Accessories,Horse Rugs - Rug Accessories,95,auto,"The product is a tail cord specifically designed for Kentucky Horsewear rugs, which aligns with the 'Horse Rugs - Rug Accessories' type. The title, description, and collections all indicate it is an accessory for horse rugs.",Rug Accessories; Horse Rug,Horse > Rug > Rug Accessories,/horse/rugs/accessories,/horse/rugs/accessories/kentucky-rug-tail-cord,/horse/rugs/accessories/kentucky-rug-tail-cord,no,,,australia only; EOFY22; Fillet strap; kentucky; Tail cord,horse-rugs; trailrace-equestrian-outfitters; kentucky,gpt-4o,no,kentucky
gid://shopify/Product/6935126605905,kentucky-horsewear-velvet-show-rug,Kentucky Horsewear's Velvet Show Rug,Trailrace Equestrian Outfitters,Horse Rugs,Horse Rugs,95,auto,"The product is clearly described as a 'Show Rug' and 'Horse Rug' in the title, tags, and description. It is part of the 'horse-rugs' collection, confirming its classification as a Horse Rug. The vendor and collections further support this classification.","RUGS: Winter Rugs, Neck Rugs & Hoods; Stable; RUGS: Summer Rugs, Neck Rugs & Hoods",Horse > Rug,/horse/rugs,/horse/rugs/kentucky-horsewear-velvet-show-rug,/horse/rugs/kentucky-horsewear-velvet-show-rug,no,,,59; 60; 63; 66; 69,horse-rugs; trailrace-equestrian-outfitters; kentucky,gpt-4o,no,kentucky
gid://shopify/Product/6935126638673,kentucky-sheepskin-rug-bib-chest-protection,Sheepskin Rug Bib Chest Protection by Kentucky Horsewear,Trailrace Equestrian Outfitters,Horse Rugs - Rug Accessories,Rug Accessories,95,auto,"The product is described as a 'Sheepskin Rug Bib Chest Protection' specifically designed to protect horses from rubbing caused by rugs. The tags and canonical collection hint at 'Rug Accessories', which aligns with the product's function as an accessory to horse rugs. The vendor and collections also support this classification.",Horse Rugs; Horseware,Horse > Rug > Rug Accessories,/horse/rugs/accessories,/horse/rugs/accessories/kentucky-sheepskin-rug-bib-chest-protection,/horse/rugs/accessories/kentucky-sheepskin-rug-bib-chest-protection,no,,,australia only; black; chest; EOFY22; kentucky,horse-rugs; trailrace-equestrian-outfitters; kentucky,gpt-4o,no,kentucky
gid://shopify/Product/6935126736977,kentucky-stable-rug-0g,0g Kentucky Horse Rug For Stable,Trailrace Equestrian Outfitters,Horse Rugs,Horse Rugs,95,auto,"The product is clearly described as a 'stable rug' for horses, which fits the 'Horse Rugs' category. The title, description, and collections all emphasize its use as a rug for horses, specifically in a stable setting. The vendor and tags also support this classification.","RUGS: Winter Rugs, Neck Rugs & Hoods; RUGS: Summer Rugs, Neck Rugs & Hoods",Horse > Rug,/horse/rugs,/horse/rugs/kentucky-stable-rug-0g,/horse/rugs/kentucky-stable-rug-0g,no,,,59; 60; 63; 66; 69,horse-rugs; trailrace-equestrian-outfitters; kentucky,gpt-4o,no,kentucky
gid://shopify/Product/6935126769745,shanga-airflow-combo,Shanga Airflow Combo,Trailrace Equestrian Outfitters,Horse Rugs,Horse Rugs,95,auto,"The product is described as a 'combo' for horses, specifically designed for summer with features like mesh for airflow and sun protection, which aligns with the characteristics of a horse rug. The canonical collection hint and collections also support this classification.","RUGS: Summer Rugs, Neck Rugs & Hoods; Rug; Mesh Rug",Horse > Rug,/horse/rugs,/horse/rugs/shanga-airflow-combo,/horse/rugs/shanga-airflow-combo,no,,,"50; 53; 56; 6'6""; 69",horse-rugs; trailrace-equestrian-outfitters; globo_basis_collection,gpt-4o,no,
