shopify_id,handle,title,vendor,current_type,suggested_type,confidence,validation_status,reasoning,alternative_types,cat_title,cat_slug,tags,collections,model_used,vision_escalated,suggested_brand_handles
gid://shopify/Product/7002927005777,breakaway-halter,Breakaway Halter,Thinline Global Australia,(No Product Type),halter,92,auto,Title and description specify a horse breakaway halter; collection is horse-halters.,Halters; Horse Halters,Horse > Halters,/horse/halters,australia only; breakaway; cob; horse; oversize,horse-halters; thinline-global-australia; globo_basis_collection,gpt-5.2-codex,no,thinline-global-australia
gid://shopify/Product/8045139001636,flexible-filly-muzzle,Flexible Filly Grazing Muzzle,Thinline Global Australia,(No Product Type),Horse Halters,78,auto,Grazing muzzle used with a halter; collection indicates horse-halters and product is a halter-related accessory.,halter; Halters,Horse > Halters,/horse/halters,australia only; mini-to-pony; oversize-to-draft; thinline with images,horse-halters; thinline-global-australia; globo_basis_collection,gpt-5.2-codex,no,thinline-global-australia
gid://shopify/Product/8274450809124,sticky,Sticky,The Equestrian,(No Product Type),Equestrian Helmets,90,auto,Vision pass used. Image shows an equestrian riding helmet; most specific match is Equestrian Helmets.,Helmets; helmet,Rider > Helmets,/rider/helmets,australia only,globo_basis_collection; the-equestrian,gpt-5.2-codex,yes,
gid://shopify/Product/10064196731172,mattes-lambskin,Mattes Lambskin,Tacklet,(No Product Type),Half Pads,38,needs-review,Title only indicates lambskin; Mattes lambskin is commonly used as a half pad lining; variants mention top front/rear and lined options suggesting pad coverage.,saddle pad; Saddle Pads & Blankets,Horse > Saddle Cloth > half pad,/horse/pads/half-pads,tacklet,globo_basis_collection; tacklet,gpt-5.2-codex,no,
gid://shopify/Product/10064197222692,procush-additions,ProCush Additions,Tacklet,(No Product Type),saddle pad,32,needs-review,"Title and variants suggest add-ons for a cushioned tack item, likely a saddle pad; vendor/tag provide no clearer category.",Saddle Pads & Blankets; Saddle cloths,Horse > Saddle Cloth,/horse/pads,tacklet,globo_basis_collection; tacklet,gpt-5.2-codex,no,
gid://shopify/Product/10068339884324,akubra-hat-stretchers,Akubra Hat Stretchers,Shire Saddleworld,(No Product Type),Hats & Accessories,85,auto,Hat stretcher is a hat care/accessory item per title and description; best fit under Hats & Accessories.,Clothing Accessories; CLOTHING: Hats & Caps,Clothing > Clothing Accessories > beanies,/clothing/accessories/hats,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10068340015396,akubra-hat-brush,Akubra Hat Brush,Shire Saddleworld,(No Product Type),Hats & Accessories,66,needs-review,"Vision pass used. Title/description show a hat brush for maintaining an Akubra; image shows a brush accessory for hats, fitting hat accessories category.",CLOTHING: Hats & Caps; RIDER: Hats & Caps,Clothing > Clothing Accessories > beanies,/clothing/accessories/hats,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,yes,
gid://shopify/Product/10075072692516,barmah-canvas-drover,Barmah Canvas Drover,Shire Saddleworld,(No Product Type),CLOTHING: Hats & Caps,88,auto,Canvas drover hat with brim and hatband; clearly a hat from title/description.,Hat; hats,Clothing > Clothing Accessories > beanies,/clothing/accessories/hats,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10075074003236,eurohunter-halter-mini-horse,Eurohunter Halter Mini Horse,Shire Saddleworld,(No Product Type),halter,92,auto,Title and description specify a mini horse halter.,Halters; Horse Halters,Horse > Halters,/horse/halters,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10081070711076,equinavia-crown-mips-helmet,Equinavia Crown MIPS Helmet,Shire Saddleworld,(No Product Type),Equestrian Helmets,95,auto,Title and description clearly indicate a riding helmet with safety certifications.,Helmets; helmet,Rider > Helmets,/rider/helmets,,on-sale; globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10081070743844,horse-bix,Horse Bix,Shire Saddleworld,(No Product Type),STABLE: Horse Treats & Toys,94,auto,Title/description explicitly describe horse training treats; fits horse treats category.,Treats; Horse Supplements,Horse > Stable Accessories > STABLE: Horse Treats & Toys,/horse/stable/treats,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10081826111780,nappy-bag-tooled,Nappy Bag - Tooled,Hitchley & Harrow,(No Product Type),Bag,88,auto,Title and description indicate a nappy bag/handbag-style leather bag with shoulder strap and pockets.,Bags; Handbag; Luggage,Rider > Accessories - Luggage > Gear Bag,/rider/luggage/bags,,hitchley-harrow; globo_basis_collection,gpt-5.2-codex,no,hitchley-harrow
gid://shopify/Product/10096785391908,alice-ribbed-tights,Alice Ribbed Tights,QJ Riding Wear,(No Product Type),riding tights,94,auto,Title and description specify riding tights with full seat silicone grip; vendor/collection is QJ Riding Wear.,Tights; Active tights,Clothing > Ladies Clothing > Ultimate Tights,/clothing/womens/tights,,globo_basis_collection; qj-riding-wear,gpt-5.2-codex,no,qj-riding-wear
gid://shopify/Product/10096798761252,gag-runners,Gag Runners,Shire Saddleworld,(No Product Type),Bits - Bit Accessories,66,needs-review,Vision pass used. Gag runners are attachments used with running gag bits; description and image show cord/leather runners with rings for bit action.,Bridle Accessories; Strapping - Bridles - Bridle Accessories,Horse > Bits > Bits - Bit Accessories,/horse/bits/accessories,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,yes,
gid://shopify/Product/10111690309924,zilco-revolving-leather-punch,Zilco Revolving Leather Punch,Shire Saddleworld,(No Product Type),STABLE: Instruments,82,auto,Product is a metal saddlery/leather punch tool; tools fit stable instruments category.,STABLE: Farrier; Leather Care,Horse > Stable Accessories > STABLE: Instruments,/horse/stable/instruments,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,zilco
gid://shopify/Product/10111690408228,mens-groundbreaker-wide-square-toe-st,MEN'S GROUNDBREAKER WIDE SQUARE TOE ST,Shire Saddleworld,(No Product Type),FOOTWEAR: Western & Roper Boots,78,auto,Men's Groundbreaker wide square toe work boot; western-style work boot fits best under Western & Roper Boots.,Mens Footwear; Boots,Clothing > FOOTWEAR: Equestrian Footwear > FOOTWEAR: Western & Roper Boots,/clothing/footwear/western,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111690539300,eureka-nylon-lunge-lead-30ft,Eureka Nylon Lunge Lead - 30ft,Shire Saddleworld,(No Product Type),Lunge Line,90,auto,Title and description specify a nylon lunge lead/line 30ft for lunging.,Training and Lunging; HORSE: Lungeing & Schooling,Horse > Training and Lunging > Lunge Line,/horse/training/lunge-equipment,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111690572068,eurohunter-canvas-hay-feed-bag,Eurohunter Canvas Hay Feed Bag,Shire Saddleworld,(No Product Type),STABLE: Feed Bins & Hay Bags,87,auto,Title indicates a hay/feed bag; best fit is hay bags within stable feed storage.,Hay Net; Feeding,Horse > Stable Accessories > STABLE: Feed Bins & Hay Bags,/horse/stable/feed-storage,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,eurohunter
gid://shopify/Product/10111690670372,zilco-pony-training-snaffle,Zilco Pony Training Snaffle,Shire Saddleworld,(No Product Type),Bits,95,auto,Title/description specify a snaffle ring bit for ponies; this is a horse bit.,HORSE: Bits; Bits - Bit Accessories,Horse > Bits,/horse/bits,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,zilco
gid://shopify/Product/10111690768676,grainge-deluxe-ap-saddlepad,Grainge Deluxe AP Saddlepad,Shire Saddleworld,(No Product Type),All Purpose Pads,78,auto,Title says AP Saddlepad and description mentions saddle cloth shaped for wither relief; best match is All Purpose Pads.,saddle pad; Saddle Cloth,Horse > Saddle Cloth > All Purpose Pads,/horse/pads/all-purpose,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111690801444,zilco-training-flag-whip-110cm,Zilco Training Flag Whip 110cm,Shire Saddleworld,(No Product Type),Whips and Crops,93,auto,Title and description indicate a training flag whip for horse training; fits whip/crop category. Brand is Zilco.,Whips; whip,Rider > Whips and Crops,/rider/whips,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,zilco
gid://shopify/Product/10111690834212,akubra-outback-club,Akubra Outback Club,Shire Saddleworld,(No Product Type),Hat,93,auto,Title/description identify it as an Akubra hat; headwear fits Hat category.,hats,Clothing > Clothing Accessories > beanies,/clothing/accessories/hats,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
