from,to,method,confidence,reasoning,is_new_category
/collections/saddles,/horse/saddles,exact-match,high,Already in redirects CSV,no
/collections/horse-rugs,/horse/rugs,exact-match,high,Already in redirects CSV,no
/collections/footwear,/clothing/footwear,exact-match,high,Already in redirects CSV,no
/collections/horse-boots,/horse/boots,exact-match,high,Already in redirects CSV,no
/collections/horse-bandages,/horse/boots/bandages,exact-match,high,Already in redirects CSV,no
/collections/horse-grooming-supplies,/horse/grooming,exact-match,high,Already in redirects CSV,no
/collections/horse-health,/horse/veterinary,exact-match,high,Already in redirects CSV,no
/collections/saddle-pads,/horse/pads,exact-match,high,Already in redirects CSV,no
/collections/horse-riding-apparel,/clothing,exact-match,high,Already in redirects CSV,no
/collections/horse-riding-helmets,/rider/helmets,exact-match,high,Already in redirects CSV,no
/collections/strapping,/horse/grooming/products,ai-suggested,high,Strapping is a traditional horse grooming term referring to muscle massaging/toning with a grooming pad or strapping cloth. This fits best under horse grooming products as it's a grooming technique and associated equipment.,no
/collections/horse-halters,/horse/halters,exact-match,high,Already in redirects CSV,no
/collections/horse-toys,/horse/stable/treats,exact-match,high,Already in redirects CSV,no
/collections/horse-jewellery,/rider/jewellery,exact-match,high,Already in redirects CSV,no
/collections/pets,/pet,exact-match,high,Already in redirects CSV,no
/collections/horse-riding-accessories,/rider/accessories,exact-match,high,Already in redirects CSV,no
/collections/feed,/horse/stable/feed,exact-match,high,Already in redirects CSV,no
/collections/stable-and-yard,/horse/stable,exact-match,high,Already in redirects CSV,no
/collections/clippers,/horse/stable/clippers,exact-match,high,Already in redirects CSV,no
/collections/body-protectors,/rider/body-protectors,exact-match,high,Already in redirects CSV,no
/collections/horse-bits,/horse/bits,exact-match,high,Already in redirects CSV,no
/collections/trailrace-equestrian-outfitters,/accessories/gifts,ai-suggested,medium,"Trailrace Equestrian Outfitters appears to be a brand or general store collection rather than a specific product category. Without more context about the products, mapping to gifts/general accessories is most appropriate, as it's the catch-all for miscellaneous equestrian items. Alternatively, this could be a vendor/brand collection that doesn't map to a product category structure.",no
/collections/thinline-global-australia,/brands/thinline-global-australia,brand-match,high,Matches existing brand handle,no
/collections/southern-sport-horses,/horse/brands/,ai-suggested,medium,"Southern Sport Horses appears to be a brand name. Since there's no existing brands section under /horse (only under /accessories/brands), creating /horse/brands/southern-sport-horses would be appropriate for brand-specific horse products. Alternative would be to use /accessories/brands/southern-sport-horses if this is a general brand collection.",yes
/collections/dapple-eq,/horse/tack,ai-suggested,medium,"Dapple EQ appears to be a brand that primarily produces horse tack and equipment. Without more specific product information, the general /horse/tack category is the best fit as it encompasses bridles, reins, and other tack items that brands like Dapple EQ typically manufacture.",no
/collections/ascot-saddlery,/horse/saddles,ai-suggested,high,Ascot Saddlery is a brand/store name specializing in horse saddles and saddlery equipment. Maps to the existing saddles category which is the most appropriate category for general saddlery products.,no
/collections/fly-veils-and-hoods,/horse/bonnets,ai-suggested,high,Fly veils and hoods are types of horse bonnets worn to protect from flies and insects. The existing /horse/bonnets category is the perfect match for this product type.,no
/collections/luggage,/rider/luggage,exact-match,high,Already in redirects CSV,no
/collections/horse-books,/accessories/books,exact-match,high,Already in redirects CSV,no
/collections/eac-animal-care,/horse/veterinary,exact-match,high,Already in redirects CSV,no
/collections/ps-of-sweden,/brands/ps-of-sweden,brand-match,high,Matches existing brand handle,no
/collections/samshield,/brands/samshield,brand-match,high,Matches existing brand handle,no
/collections/living-horse-tales-jewellery-by-monika,/brands/living-horse-tales-jewellery-by-monika,brand-match,high,Matches existing brand handle,no
/collections/vivarchie-equestrian,/clothing/womens,ai-suggested,medium,"Vivarchie Equestrian is a brand that produces equestrian apparel, primarily women's riding wear including breeches, tops, and jackets. Maps to existing women's clothing category as the most appropriate general destination for this brand's products.",no
/collections/horseware-australia,/accessories/brands/horseware,exact-match,high,Already in redirects CSV,no
/collections/bare-equestrian,/brands/bare-equestrian,brand-match,high,Matches existing brand handle,no
/collections/premier-equine,/brands,ai-suggested,medium,"Premier Equine is a major equestrian brand that produces a wide range of horse products including boots, rugs, pads, and other horse equipment. Since this is a brand collection rather than a product category, and no brand-specific paths exist in the horse section (unlike /accessories/brands/horseware), creating a brand subcategory at /horse/premier-equine would be the most logical mapping to preserve the brand-based navigation.",yes
/collections/hitchley-harrow,/accessories/brands/hitchley-harrow,ai-suggested,medium,"Hitchley & Harrow appears to be a brand name. The existing structure has /accessories/brands/horseware, suggesting brand collections are housed under accessories. This follows the established pattern for brand-specific collections.",yes
/collections/diamond-deluxe-horsewear,/brands/diamond-deluxe-horsewear,brand-match,high,Matches existing brand handle,no
/collections/bucas-australia,/horse/rugs,ai-suggested,high,"Bucas is a well-known Australian horse rug manufacturer. The collection would contain their range of horse rugs and blankets, which maps directly to the existing /horse/rugs category.",no
/collections/cavalor-equicare,/brands/cavalor-equicare,brand-match,high,Matches existing brand handle,no
/collections/lemieux,/horse/pads,ai-suggested,high,"LeMieux is a premium equestrian brand that produces saddle pads, boots, grooming products, fly hoods, and other horse equipment. Since it's a brand collection rather than a product type, creating a brand subcategory under /horse is appropriate, similar to the existing /accessories/brands/horseware structure.",yes
/collections/zilco,/brands/zilco,brand-match,high,Matches existing brand handle,no
/collections/penelope-leprovost,/brands/penelope-leprovost,brand-match,high,Matches existing brand handle,no
/collections/can-animal-care,/brands/can-animal-care,exact-match,high,Already in redirects CSV,no
/collections/helmet-brims,/rider/helmets,exact-match,high,Already in redirects CSV,no
/collections/kentucky,/brands/kentucky,brand-match,high,Matches existing brand handle,no
/collections/freejump,/brands/freejump,brand-match,high,Matches existing brand handle,no
/collections/cavalleria-toscana,/brands/cavalleria-toscana,brand-match,high,Matches existing brand handle,no
/collections/animo,/brands/animo,brand-match,high,Matches existing brand handle,no
/collections/equiline,/brands/equiline,brand-match,high,Matches existing brand handle,no
/collections/little-equine-co,/accessories/gifts,ai-suggested,medium,"Little Equine Co appears to be a brand that offers equestrian-themed gifts and accessories. Without more specific product information, the existing /accessories/gifts path is the most appropriate match for branded gift items.",no
/collections/cavallo,/brands/cavallo,brand-match,high,Matches existing brand handle,no
/collections/equipe,/brands/equipe,brand-match,high,Matches existing brand handle,no
/collections/sterling-essentials,/brands/sterling-essentials,brand-match,high,Matches existing brand handle,no
/collections/southern-sport-horses-1,/horse/stable,ai-suggested,medium,"Southern Sport Horses appears to be a brand or vendor collection. Without more context about the specific products, mapping to /horse/stable as a general catch-all for horse-related stable/barn products. This could alternatively be a brand-specific collection that doesn't map well to product categories.",no
/collections/emcee-apparel,/brands/emcee-apparel,brand-match,high,Matches existing brand handle,no
/collections/top-brands,/,exact-match,high,Already in redirects CSV,no
/collections/aza-equestrian,/clothing,ai-suggested,medium,"Aza Equestrian is a brand that primarily produces equestrian clothing and apparel. Since there's no existing brands subcategory under clothing (only under accessories), suggesting a new brands path. Alternatively could map to /accessories/brands if product mix is unclear, but clothing is more likely given the brand focus.",yes
/collections/black-friday-deals-for-equestrians,/accessories/gifts,ai-suggested,high,Black Friday deals for equestrians is a promotional collection that would contain gift items and various equestrian products. The /accessories/gifts category is the most appropriate existing path for promotional and gift-oriented collections that span multiple product types.,no
/collections/farrier-tools,/horse/stable/farrier,exact-match,high,Already in redirects CSV,no
/collections/vibrant-equestrian,/horse/tack/accessories,ai-suggested,medium,"Vibrant Equestrian is likely a brand or collection name rather than a specific product category. Without more context about what products were in this collection, /horse/tack/accessories is a reasonable general catch-all for branded equestrian equipment. If more information shows this was specifically rider clothing or other products, the mapping should be updated accordingly.",no
/collections/on-sale,/on-sale,ai-suggested,medium,"The 'on-sale' collection is a promotional/filtering category that doesn't fit into product-specific hierarchies. While it could span all top-level categories, placing it under accessories as a cross-category sale section is the least disruptive option. However, this type of URL typically represents a filter/tag rather than a true category hierarchy and may be better handled through query parameters or a dedicated sales landing page outside the main category structure.",yes
/collections/peter-williams,/brands/peter-williams,brand-match,high,Matches existing brand handle,no
/collections/jp-equestrian-fashion,/brands/jp-equestrian-fashion,brand-match,high,Matches existing brand handle,no
/collections/plum-tack,/brands/plum-tack,exact-match,high,Already in redirects CSV,no
/collections/breeches,/clothing/womens/breeches,exact-match,high,Already in redirects CSV,no
/collections/base-layers,/clothing/activewear/base-layers,ai-suggested,high,"Base layers are thermal/compression garments worn by riders under their clothing. The existing /clothing/activewear category is the perfect parent for this subcategory, as base layers are performance activewear designed for riding comfort.",yes
/collections/hygieia-san,/horse/stable/feed,ai-suggested,medium,"Hygieia-san appears to be a brand name, likely related to horse feed or supplements. The existing /horse/stable/feed category is the most appropriate match for feed-related products. Could also fit under /horse/supplements if the products are nutritional supplements rather than feed.",no
/collections/dyon,/brands/dyon,brand-match,high,Matches existing brand handle,no
/collections/westerns-saddles-usa,/horse/saddles/stock-western,exact-match,high,Already in redirects CSV,no
/collections/hairy-pony,/brands/hairy-pony,exact-match,high,Already in redirects CSV,no
/collections/ariat,/brands/ariat,brand-match,high,Matches existing brand handle,no
/collections/multidomain-chek,/accessories/gift-cards,ai-suggested,medium,"The segment 'multidomain-chek' appears to be a technical or administrative collection name, possibly related to gift cards or vouchers that can be used across multiple domains. Gift cards are the closest existing match for cross-domain payment instruments.",no
/collections/globo_basis_collection,/accessories/gifts,ai-suggested,low,"globo_basis_collection appears to be a technical/system collection name without clear product category indicators. Mapping to /accessories/gifts as a generic catch-all, but this likely needs manual review to determine actual product content.",no
/collections/mochara,/accessories/gifts,ai-suggested,low,"Mochara appears to be a brand name with no clear product category indicators. Without additional context about what products this collection contains, mapping to /accessories/gifts as a general catch-all for branded merchandise. This may need refinement once the actual product types are known.",no
/collections/toklat,/horse/pads,ai-suggested,high,Toklat is a well-known brand specializing in saddle pads and accessories. The existing /horse/pads category is the most appropriate match for this brand collection.,no
/collections/wintec,/brands/wintec,brand-match,high,Matches existing brand handle,no
/collections/martin-saddlery,/horse/saddles/accessories,ai-suggested,high,"Martin Saddlery is a well-known western saddle and tack manufacturer. Their products include saddles, saddle accessories, and western tack items. The existing /horse/saddles/accessories category is the most appropriate match for this brand's product range.",no
/collections/weaver-leather,/horse/stable/leather-care,exact-match,high,Already in redirects CSV,no
/collections/leather-brothers,/horse/stable/leather-care,exact-match,high,Already in redirects CSV,no
/collections/run-away-equestrian-co,/brands/run-away-equestrian-co,brand-match,high,Matches existing brand handle,no
/collections/noble-outfitters,/brands/noble-outfitters,brand-match,high,Matches existing brand handle,no
/collections/ippico-equestrian,/brands/ippico-equestrian,brand-match,high,Matches existing brand handle,no
/collections/qj-riding-wear,/brands/qj-riding-wear,exact-match,high,Already in redirects CSV,no
/collections/jnk-collective,/brands/jnk-collective,brand-match,high,Matches existing brand handle,no
/collections/accessories,/horse/rugs/accessories,exact-match,high,Already in redirects CSV,no
/collections/ponyjet,/brands/ponyjet,brand-match,high,Matches existing brand handle,no
/collections/the-equestrian,/brands/the-equestrian,brand-match,high,Matches existing brand handle,no
/collections/eurohunter,/brands/eurohunter,brand-match,high,Matches existing brand handle,no
/collections/prestige,/brands/prestige,brand-match,high,Matches existing brand handle,no
/collections/the-barbie-collection,/brands/the-barbie-collection,brand-match,high,Matches existing brand handle,no
/collections/acavallo,/brands/acavallo,brand-match,high,Matches existing brand handle,no
/collections/anky,/brands/anky,brand-match,high,Matches existing brand handle,no
/collections/birds,/pet/bird,exact-match,high,Already in redirects CSV,no
/collections/elt,/brands/elt,brand-match,high,Matches existing brand handle,no
/collections/stirrups,/horse/tack/stirrups,exact-match,high,Already in redirects CSV,no
/collections/test-imports,/accessories/gifts,ai-suggested,low,"The URL 'test-imports' appears to be a technical/administrative collection used for testing product imports rather than a customer-facing category. Without additional context about what products it contains, mapping to /accessories/gifts as a general catch-all, but this should be reviewed and products reassigned to appropriate categories based on their actual type.",no
/collections/anna-scarpati,/brands/anna-scarpati,brand-match,high,Matches existing brand handle,no
/collections/precision-microbes,/horse/supplements,ai-suggested,high,Precision Microbes is a brand that produces equine probiotic and microbial supplements for horses. The existing /horse/supplements category is the appropriate destination for this product line.,no
/collections/visentin-equestrian,/brands/visentin,ai-suggested,medium,"Visentin Equestrian appears to be a brand name. Following the existing pattern of /accessories/brands/horseware, creating a brand-specific path for Visentin makes sense for brand landing pages or collections.",yes
/collections/paddock-blade,/horse/stable/paddock,exact-match,high,Already in redirects CSV,no
/collections/ego-7,/brands/ego-7,brand-match,high,Matches existing brand handle,no
/collections/exclusively-equine,/clothing,ai-suggested,medium,"Exclusively Equine appears to be a brand name. Without more context about what products they offer, creating a brand-specific subcategory under horse seems most appropriate, similar to the existing /accessories/brands/horseware pattern. However, if this is a general collection, it may need to map to multiple existing categories based on actual product types.",yes
/collections/gifts,/accessories/gifts,exact-match,high,Already in redirects CSV,no
/collections/homeware,/accessories/homeware,ai-suggested,medium,"Homeware products (decorative items, household goods with equestrian themes) fit best under accessories alongside gifts and collectibles. This is a new subcategory as homeware items don't fit cleanly into existing categories like books, collectibles, or gifts, though they share similar characteristics as lifestyle/gift items.",yes
/collections/tacklet,/horse/tack/accessories,ai-suggested,medium,"Tacklet appears to be a diminutive form of 'tack', suggesting small tack items or tack accessories. The existing /horse/tack/accessories category is the best match for miscellaneous or smaller tack-related items.",no
/collections/shire-saddleworld,/accessories/gifts,ai-suggested,medium,"Shire Saddleworld appears to be a brand/store name rather than a product category. Without more context about what products were in this collection, mapping to gifts as a general merchandise category is most appropriate. Could also be a landing page for a specific store location's products.",no
/collections/horse-queened,/brands/horse-queened,exact-match,high,Already in redirects CSV,no
/collections/zilco/hind-fetlock,/brands/zilco,brand-match,high,Matches existing brand handle,no
/collections/zilco/cryochaps,/brands/zilco,brand-match,high,Matches existing brand handle,no
/collections/zilco/ice,/brands/zilco,brand-match,high,Matches existing brand handle,no
/collections/zilco/bell,/brands/zilco,brand-match,high,Matches existing brand handle,no
/collections/zilco/exercise,/horse/boots/exercise,exact-match,high,Already in redirects CSV,no
/collections/wintec/jumping,/horse/boots/jumping,exact-match,high,Already in redirects CSV,no
/collections/wintec/dressage,/horse/pads/dressage,exact-match,high,Already in redirects CSV,no
/collections/stirrups/leathers,/horse/tack/stirrup-leathers,ai-suggested,high,"The URL segments 'stirrups/leathers' clearly refers to stirrup leathers, which is horse tack. An exact match exists at /horse/tack/stirrup-leathers in the existing category structure.",no
/collections/stirrups/freejump,/horse/tack/stirrups/freejump,ai-suggested,high,"Stirrups are already categorized under /horse/tack/stirrups. FreeJump is a premium stirrup brand that warrants its own subcategory under stirrups for brand-specific browsing, similar to how other brands are organized in the structure.",yes
/collections/kentucky/white,/brands/kentucky,brand-match,high,Matches existing brand handle,no
/collections/kentucky/dressage,/brands/kentucky,exact-match,high,Already in redirects CSV,no
/collections/kentucky/black,/brands/kentucky,brand-match,high,Matches existing brand handle,no
/collections/hairy-pony/equinade-shampoo,/brands/hairy-pony,brand-match,high,Matches existing brand handle,no
/collections/dyon/bridles,/horse/tack/bridles,exact-match,high,Already in redirects CSV,no
/collections/birds/poultry,/pet/poultry,exact-match,high,Already in redirects CSV,no
/collections/birds/toys,hirt,exact-match,high,Already in redirects CSV,no
/collections/base-layers/grey,/clothing/tops/base-layers,ai-suggested,high,Base layers are rider apparel worn under riding clothing. The 'grey' segment indicates a color filter. Base layers fit best under clothing/tops as a new subcategory for thermal/compression underlayers.,yes
/collections/base-layers/white,/clothing/tops/base-layers,ai-suggested,high,"Base layers are thermal underwear/performance wear worn by riders under their riding clothing. They belong in the clothing category as tops/underlayers. While there's no existing base-layers subcategory, this fits logically under /clothing/tops alongside other shirt categories. The 'white' segment indicates a color filter, not a category level.",yes
/collections/base-layers/navy,/clothing/activewear/base-layers,ai-suggested,high,"Base layers are clothing items worn as a foundational layer, typically for riding. The 'navy' segment indicates a color filter. The existing /clothing/activewear category is the most appropriate parent for base layers as they serve athletic/active purposes.",yes
/collections/base-layers/black,/clothing/tops/base-layers,ai-suggested,high,"Base layers are a specific type of clothing top worn as underlayers for riding. The color 'black' is a product filter. While no exact base-layers category exists, it fits logically under /clothing/tops/ alongside other top types like long-sleeve, tanks, and tshirts.",yes
/collections/ariat/hats,/clothing/accessories/hats,exact-match,high,Already in redirects CSV,no
/collections/ariat/western-spurs,/brands/ariat,brand-match,high,Matches existing brand handle,no
/collections/ariat/ego-7,/brands/ariat,brand-match,high,Matches existing brand handle,no
/collections/ariat/baxter-boots,/brands/ariat,brand-match,high,Matches existing brand handle,no
/collections/ariat/roper-boots,/brands/ariat,brand-match,high,Matches existing brand handle,no
/collections/ariat/bags,/rider/luggage/bags,exact-match,high,Already in redirects CSV,no
/collections/ariat/cavallo,/brands/ariat,brand-match,high,Matches existing brand handle,no
/collections/ariat/mens,/brands/ariat,exact-match,high,Already in redirects CSV,no
/collections/ariat/spurs-and-straps,/brands/ariat,brand-match,high,Matches existing brand handle,no
/collections/ariat/stirrups-and-leathers,/horse/tack/stirrups,exact-match,high,Already in redirects CSV,no
/collections/ariat/womens,/clothing/womens,exact-match,high,Already in redirects CSV,no
/collections/ariat/jeans,/clothing/mens/jeans,exact-match,high,Already in redirects CSV,no
/collections/ariat/ariat,/brands/ariat,brand-match,high,Matches existing brand handle,no
/collections/peter-williams/harcour,/brands/peter-williams,brand-match,high,Matches existing brand handle,no
/collections/peter-williams/high-waisted,/brands/peter-williams,brand-match,high,Matches existing brand handle,no
/collections/peter-williams/grey,/brands/peter-williams,brand-match,high,Matches existing brand handle,no
/collections/peter-williams/brown,/brands/peter-williams,brand-match,high,Matches existing brand handle,no
/collections/peter-williams/black,/brands/peter-williams,brand-match,high,Matches existing brand handle,no
/collections/breeches/harcour,/clothing/womens/breeches,ai-suggested,high,"Breeches are equestrian apparel that belong under clothing. While 'harcour' is a brand name, the product type 'breeches' is the primary category. The existing /clothing/womens/breeches path is the best match, as most breeches collections default to women's unless specifically marked as mens or kids.",no
/collections/breeches/samshield,/clothing/womens/breeches,ai-suggested,high,"Breeches are equestrian apparel items. The segment 'samshield' is a brand name. The existing path /clothing/womens/breeches is the best match as breeches are typically gender-specific clothing items, and womens is the most common category for breeches in equestrian retail.",no
/collections/breeches/high-waisted,/clothing/womens/breeches,ai-suggested,high,High-waisted breeches are a style variation of women's breeches. The existing /clothing/womens/breeches path is the appropriate category for all women's breech styles including high-waisted variants.,no
/collections/breeches/grey,/clothing/womens/breeches,ai-suggested,high,"Breeches are equestrian riding pants that belong under clothing. Grey is a color filter, not a category. The existing /clothing/womens/breeches path is the appropriate destination for general breeches collections.",no
/collections/breeches/brown,/clothing/womens/breeches,ai-suggested,high,"Breeches are equestrian apparel that belong in the clothing category. The brown segment is a color filter, not a structural category. The existing /clothing/womens/breeches path is the best match, as breeches are typically browsed by gender and women's is the most common category.",no
/collections/breeches/black,/clothing/womens/breeches,ai-suggested,high,"Breeches are equestrian riding pants, which belong in the clothing category. The color 'black' is a product attribute/filter, not a category. The existing /clothing/womens/breeches path is the appropriate match for general breeches collections.",no
/collections/accessories/water-bottles,/rider/accessories/water-bottles,ai-suggested,high,"Water bottles are rider accessories carried by equestrians during riding/training. The /rider/accessories category already exists and handles personal rider items like hair accessories, headbands, and keychains, making it the logical parent for water bottles.",yes
/collections/test-imports/blue,/accessories/gifts,ai-suggested,low,"The segments 'test-imports' and 'blue' appear to be testing/administrative categories rather than meaningful product categories. 'Blue' could be a color filter. Without more context, mapping to a general gifts category as this seems like non-product data that may have been used for testing purposes.",no
/collections/stable-and-yard/feeder,/horse/stable/feeding,ai-suggested,high,"Feeders are stable equipment used for feeding horses. The existing /horse/stable/feeding category is the perfect match for feeder products, which are essential yard and stable equipment.",no
/collections/stable-and-yard/hay-feeders,/horse/stable/hay-feeders,ai-suggested,high,"Hay feeders are stable/yard equipment used for feeding horses. The /horse/stable category already contains related feeding items like 'feeding', 'feed', and 'hay-nets', making hay-feeders a logical addition to this structure.",yes
/collections/horse-toys/the-trail-of-the-painted-pony,/accessories/collectibles,ai-suggested,high,Trail of Painted Ponies is a collectible figurine line featuring decorated horse sculptures. This fits perfectly under accessories/collectibles as decorative items rather than functional horse equipment or toys.,no
/collections/horse-toys/breyer,/accessories/collectibles/breyer,ai-suggested,high,Breyer is a collectible model horse brand. Horse toys/collectibles belong in accessories category where collectibles already exist. Adding breyer as a sub-subcategory under collectibles makes sense as Breyer is a major collectible horse brand.,yes
/collections/horse-halters/breakaway,/horse/halters/breakaway,ai-suggested,high,"Breakaway halters are a specific safety type of horse halter. The existing /horse/halters category structure already has subcategories (lead-ropes, leads), so adding /breakaway as a parallel subcategory follows the established pattern and semantic organization.",yes
/collections/horse-halters/rope,/horse/training/ropes,exact-match,high,Already in redirects CSV,no
/collections/horse-halters/lemieux,/horse/halters/,ai-suggested,high,"The URL contains 'horse-halters' which maps to the existing /horse/halters category. 'lemieux' is a brand name (LeMieux), so creating a brand subcategory under halters follows the pattern seen elsewhere in the structure (e.g., /accessories/brands/horseware). This allows filtering halters by the LeMieux brand.",yes
/collections/saddles/equipe,/horse/saddles/equipe,ai-suggested,high,"Equipe is a saddle brand. The URL structure suggests a brand-specific saddle collection. Since /horse/saddles exists and has other subcategories for saddle types, adding /equipe as a brand subcategory follows the existing pattern seen in accessories/brands/horseware.",yes
/collections/saddles/arena,/horse/saddles/arena,ai-suggested,high,"Arena saddles are a specific type of saddle used for arena riding. The existing /horse/saddles category has subcategories for different saddle types (all-purpose, dressage, jumping, stock-western), so adding 'arena' as a parallel subcategory maintains the structure and semantic consistency.",yes
/collections/saddles/jumping,/horse/saddles/jumping,exact-match,high,Already in redirects CSV,no
/collections/saddles/all-purpose,/horse/saddles/all-purpose,exact-match,high,Already in redirects CSV,no
/collections/saddles/dressage,/horse/saddles/dressage,exact-match,high,Already in redirects CSV,no
/collections/saddle-pads/fig,/horse/pads,ai-suggested,high,Saddle pads belong under /horse/pads which is the existing category for all saddle pad types. The 'fig' segment likely refers to a brand or color/pattern and should be handled as a filter rather than a category level.,no
/collections/saddle-pads/bluebell,/horse/pads/,ai-suggested,medium,"Saddle pads clearly map to existing /horse/pads category. 'Bluebell' appears to be a brand, color, or collection name. Since there's no existing brand/color subcategory under pads, suggesting new path. Alternative would be generic /horse/pads if bluebell is just a filter/tag rather than a distinct category.",yes
/collections/saddle-pads/ps-of-sweden,/horse/pads,ai-suggested,high,"Saddle pads are horse equipment that go under saddles. The existing /horse/pads category is the perfect match. PS of Sweden is a brand that makes saddle pads, so this collection should map to the general pads category where all saddle pad products belong.",no
/collections/saddle-pads/mattes,/horse/pads/mattes,ai-suggested,high,"Saddle pads belong under /horse/pads which already exists. Mattes is a premium brand of saddle pads, so creating /horse/pads/mattes as a brand-specific subcategory follows the existing structure pattern and makes semantic sense.",yes
/collections/saddle-pads/bareback,/horse/pads/bareback,ai-suggested,high,"Saddle pads belong under /horse/pads which already exists with multiple subcategories. Bareback pads are a specific type of saddle pad used for bareback riding, fitting logically alongside existing pad types like dressage, jumping, and western.",yes
/collections/saddle-pads/red,/horse/pads,ai-suggested,high,"Saddle pads are equipment that goes under saddles. The existing /horse/pads category is the perfect match. The 'red' segment is a color filter, not a category level, so the base /horse/pads path is appropriate.",no
/collections/saddle-pads/pink,/horse/pads,ai-suggested,high,"Saddle pads are horse equipment used under saddles. The existing /horse/pads category is the perfect match. The 'pink' segment is a color filter, not a category level, so it should be handled as a product filter rather than a URL path segment.",no
/collections/saddle-pads/jumping,/horse/pads/jumping,exact-match,high,Already in redirects CSV,no
/collections/saddle-pads/matchy-horse-sets,/horse/pads/matchy-sets,ai-suggested,high,"Matchy horse sets are coordinated saddle pads with matching items like bonnets and boots. Since /horse/pads already exists for saddle pads, adding a matchy-sets subcategory makes semantic sense for these coordinated equipment sets.",yes
/collections/saddle-pads/lemieux,/horse/pads,ai-suggested,high,Saddle pads map to existing /horse/pads category. LeMieux is a premium saddle pad brand that warrants its own subcategory given the brand-specific URL structure.,yes
/collections/saddle-pads/blue,/horse/pads,ai-suggested,high,"Saddle pads are horse equipment that go under saddles. The existing /horse/pads category is the perfect match. The 'blue' segment is a color filter, not a category level, so it should be handled as a product filter rather than part of the URL structure.",no
/collections/saddle-pads/sheepskin,/horse/pads/sheepskin,ai-suggested,high,"Saddle pads belong under /horse/pads which already exists with subcategories like all-purpose, dressage, etc. Sheepskin is a material type used for saddle pads and half-pads, making it a logical subcategory alongside existing pad types.",yes
/collections/saddle-pads/all-purpose,/horse/saddles/all-purpose,exact-match,high,Already in redirects CSV,no
/collections/saddle-pads/half-pad,/horse/pads/half-pads,exact-match,high,Already in redirects CSV,no
/collections/saddle-pads/gel,/horse/pads/gel-pads,ai-suggested,high,"The URL /collections/saddle-pads/gel directly maps to the existing category /horse/pads/gel-pads. Saddle pads fall under horse equipment, and there's already a dedicated gel-pads subcategory.",no
/collections/saddle-pads/eurohunter,/horse/pads,ai-suggested,high,Saddle pads are horse equipment used under saddles. The existing /horse/pads category is the exact match for saddle pads. The 'eurohunter' segment is a brand name and doesn't require a separate category path.,no
/collections/saddle-pads/white,/horse/pads,ai-suggested,high,"Saddle pads belong under /horse/pads which exists. The 'white' segment represents a color filter for saddle pads, following the existing pattern where /horse/pads has subcategories. This new path would organize white-colored saddle pads specifically.",yes
/collections/saddle-pads/dressage,/horse/pads/dressage,exact-match,high,Already in redirects CSV,no
