shopify_id,handle,title,vendor,current_type,suggested_type,confidence,validation_status,reasoning,alternative_types,tags,collections
gid://shopify/Product/6943340724305,head-bumper,Head Bumper,Thinline Global Australia,(No Product Type),Horse Halters,85,claude-validated,"OpenAI override (higher confidence): The product title 'Head Bumper' suggests an item used for protection, likely related to horse equipment. Given the collection 'horse-halters', it is reasonable to classify this as 'Horse Halters' since a head bumper could be an accessory or part of a halter.. Claude suggested: Boots - Boot Accessories",Boots - Boot Accessories,australia only; thinline global australia; thinline with images,horse-halters; thinline-global-australia; globo_basis_collection
gid://shopify/Product/6943340888145,busy-buddy-size-adjuster,Busy Buddy Size Adjuster,Thinline Global Australia,(No Product Type),Horse Halters,85,claude-validated,"OpenAI override (higher confidence): The title 'Busy Buddy Size Adjuster' and the collection 'horse-halters' suggest that this product is related to horse halters, possibly as an accessory or adjustment tool. The vendor and tags do not provide specific information to suggest a different product type.. Claude suggested: Bridle Accessories",Bridle Accessories,australia only; busy buddy; thinline global australia; thinline with images,horse-halters; thinline-global-australia; globo_basis_collection
gid://shopify/Product/6943340920913,western-felt-liner-with-fenders,Western Felt Liner with Fenders,Thinline Global Australia,(No Product Type),All Purpose Pads,85,claude-validated,"OpenAI override (higher confidence): The product title 'Western Felt Liner with Fenders' suggests it is a type of saddle pad, specifically for Western saddles. The tag 'pad' and collection 'saddle-pads' support this classification. However, the exact type within the list is 'All Purpose Pads', which is a close match for a general saddle pad category.. Claude suggested: All Purpose Pads",All Purpose Pads,australia only; pad; thinline global australia; thinline with images; western,saddle-pads; thinline-global-australia; globo_basis_collection
gid://shopify/Product/6943341019217,velcro-bell-boot,Velcro Bell Boots,Thinline Global Australia,(No Product Type),Bell Boots,95,claude-validated,"Dual AI validation - OpenAI (95%) + Claude (95%) agree: The classification is correct. The product title explicitly states 'Velcro Bell Boots', which directly matches the valid product type 'Bell Boots'. The supporting evidence includes: (1) the word 'bell' in the tags, (2) 'boot' in the tags, (3) 'horse-boots' in the collections, and (4) the vendor specializes in equestrian products. The Velcro descriptor is simply a feature/closure type and doesn't change the fundamental product category. This is clearly a bell boot product for horses.",,australia only; bell; boot; medium; small,horse-boots; thinline-global-australia; globo_basis_collection
gid://shopify/Product/6943341051985,thinline-insoles,Thinline Inner soles,Thinline Global Australia,(No Product Type),Insoles,90,claude-validated,OpenAI override (higher confidence): The product title 'Thinline Inner soles' directly indicates that it is an insole product. The tags and collections related to footwear further support this classification.. Claude suggested: Clothing Accessories,Clothing Accessories,"4.8mm); 6.4mm); australia only; innersole; thinline (3/16""",footwear; thinline-global-australia; globo_basis_collection
gid://shopify/Product/6943341084753,basic-english-contour-pad,Basic English Contour Pad,Thinline Global Australia,(No Product Type),All Purpose Pads,90,claude-validated,Dual AI validation - OpenAI (90%) + Claude (90%) agree: The classification 'All Purpose Pads' is correct. The product title 'Basic English Contour Pad' clearly indicates this is an English riding saddle pad. The tags 'half pad' and 'saddle pad' confirm it's a saddle pad product. The term 'Basic' and lack of discipline-specific terminology (like dressage or jumping) suggests it's an all-purpose pad. The collection 'saddle-pads' further validates this classification. 'All Purpose Pads' is the most appropriate and specific type from the available options.,,australia only; black; half pad; large; saddle pad,saddle-pads; thinline-global-australia; globo_basis_collection
gid://shopify/Product/6943361073233,flexible-filly-splint-boots-1,Thinline Global's Flexible Filly Splint Boots – Premium Quality Horse Protection,Thinline Global Australia,(No Product Type),Ankle Boots,90,claude-validated,"OpenAI override (higher confidence): The product title mentions 'Splint Boots,' which are a type of protective boot for horses. The collection 'horse-boots' further supports this classification. 'Ankle Boots' is the most specific type for this product.. Claude suggested: Boots",Boots,australia only; black; large; medium; tendon,horse-boots; thinline-global-australia; globo_basis_collection
gid://shopify/Product/6965653864529,dynavyte-equiette-1,Dynavyte Equiette,Vivarchie Equestrian,(No Product Type),Horse Supplements,85,claude-validated,"OpenAI override (higher confidence): The product title 'Dynavyte Equiette' suggests a supplement or health product for horses, as 'Equiette' is likely derived from 'equine' and the vendor is an equestrian company. It is part of the 'horse-health' collection, reinforcing the idea that it is a health-related product for horses.. Claude suggested: Dog Supplements",Dog Supplements,australia only; dynavyte,horse-health; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965653897297,bare-equestrian-winter-series-ellie-vest-ruby,Bare Equestrian Winter Series - Ellie Vest - Ruby,Vivarchie Equestrian,(No Product Type),CLOTHING: Casual Clothing Ladies,90,claude-validated,"Claude override (higher confidence): While the product is equestrian outerwear, it is specifically a 'vest' not a jacket. The previous classification of 'Casual Jacket' is inaccurate because vests and jackets are distinct garment types. Looking at the valid product types, 'CLOTHING: Casual Clothing Ladies' is more appropriate as it encompasses casual wear for women, which would include vests. The product is from the 'horse-riding-apparel' collection and appears to be casual equestrian wear for ladies (given the name 'Ellie Vest' and vendor context). While 'Casual Jacket' exists in the list, it specifically refers to jackets with sleeves, not vests. The 'CLOTHING: Casual Clothing Ladies' category is the best fit for a women's casual vest.. OpenAI suggested: Casual Jacket",Casual Jacket,australia only; bare equestrian; s,horse-riding-apparel; vivarchie-equestrian; bare-equestrian
gid://shopify/Product/6965653930065,bare-equestrian-thermofit-winter-performance-riding-tights-black,Black Bare Equestrian ThermoFit Horse Riding Tights For Winter,Vivarchie Equestrian,(No Product Type),Active Tights,95,claude-validated,"Dual AI validation - OpenAI (90%) + Claude (95%) agree: The classification as 'Active Tights' is correct. The product title explicitly states 'Horse Riding Tights' and the tags include 'riding tights'. While 'Breeches & Riding Tights' exists in the valid types list and could be considered more specific, 'Active Tights' is also a valid type that accurately describes this product. The ThermoFit feature indicates these are performance/active wear designed for equestrian activities. The product collections also confirm this is horse-riding apparel. I'm giving 95% confidence because 'Active Tights' is appropriate, though 'Breeches & Riding Tights' might be slightly more specific if a more granular classification were needed.",,australia only; bare equestrian; l; riding tights; xl,horse-riding-apparel; vivarchie-equestrian; bare-equestrian
