url_path,h1_title,meta_title,meta_description,short_description,long_description,breadcrumb_label,parent_url,category_level,status,default_sort,faq_json,related_categories_json
/horse,Horse,Horse | The Equestrian,"Shop premium horse including saddles, rugs, boots and tack. Free shipping Australia-wide. Expert advice available. Find the perfect gear for your needs.",Browse our extensive range of horse products.,"<p>- . equine care.</p><h3>What Makes Great Horse?</h3><ul><li>horses and riders</li><li>in equestrian sports</li><li><strong>Value:</strong> </li></ul><h3>Shop by Category</h3><p>Explore our specialized departments including <a href=""/horse/boots"">horse boots</a>, <a href=""/horse/bits"">bits</a>,<a href=""/horse/grooming"">grooming</a>, and <a href=""/horse/supplements"">supplements</a>, plus 11 more specialized categories. Each department is stocked with premium products from the world's leading brands.</p>",Horse,,1,published,best-selling,"[{""question"":""How do I choose the right horse?"",""answer"":""Consider your specific needs, budget, and intended use. Read product descriptions carefully and check sizing information. Our customer reviews provide valuable insights from real users. If you're unsure, our expert team is always happy to provide personalized recommendations.""},{""question"":""Do you offer free shipping on horse?"",""answer"":""Yes! We offer free shipping on all orders within Australia. Orders are typically processed within 1-2 business days. For urgent needs, express shipping options are available at checkout.""}]",[]
/rider,Rider,Rider | The Equestrian,"Shop premium rider including helmets, boots, gloves and safety vests. Free shipping Australia-wide. Expert advice available. Find the perfect gear for your...",Browse our extensive range of rider products.,"<p>- . riders.</p><h3>What Makes Great Rider?</h3><ul></ul><h3>Shop by Category</h3><p>Explore our specialized departments including <a href=""/rider/helmets"">helmets</a>, <a href=""/rider/giftware"">giftware</a>,<a href=""/rider/jewellery"">jewellery</a>, and <a href=""/rider/gloves"">gloves</a>, plus 7 more specialized categories. Each department is stocked with premium products from the world's leading brands.</p>",Rider,,1,published,best-selling,"[{""question"":""How do I choose the right rider?"",""answer"":""Consider your riding discipline, frequency, and personal preferences. Safety should always come first - look for certified products that meet current standards. Comfort is also crucial as you're more likely to use gear that feels good. Our team can help match you with the perfect rider for your needs.""},{""question"":""Are these products competition-approved?"",""answer"":""Most of our rider meet or exceed competition standards, but requirements vary by discipline and level. Check specific product descriptions for certification details, or contact us to confirm if an item is suitable for your competition needs.""}]","[{""url"":""/clothing/womens"",""title"":""Ladies' Riding Clothing"",""description"":""Complete your riding wardrobe""},{""url"":""/horse/tack"",""title"":""Horse Tack"",""description"":""Quality tack for horse and rider""}]"
/clothing,Clothing,Clothing | The Equestrian,"Shop premium clothing including breeches, jodhpurs, riding tops and jackets. Free shipping Australia-wide. Expert advice available. Find the perfect gear...",Browse our extensive range of clothing products.,"<p>- . the equestrian lifestyle.</p><h3>What Makes Great Clothing?</h3><ul></ul><h3>Australian Sizing & Climate</h3><p>All clothing sizes include Australian conversions for easy ordering. Our range is perfect for Australian conditions, with lightweight, breathable options for hot summers and thermal styles for cooler southern regions. Fast dispatch from our Australian warehouse with free shipping nationwide.</p>
<h3>Shop by Category</h3><p>Explore our specialized departments including <a href=""/clothing/womens"">clothing - ladies clothing</a>, <a href=""/clothing/mens"">clothing - men's clothing</a>,<a href=""/clothing/kids"">clothing - kid's clothing</a>, and <a href=""/clothing/accessories"">clothing - clothing accessories</a>, plus 5 more specialized categories. Each department is stocked with premium products from the world's leading brands.</p>",Clothing,,1,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]",[]
/pet,Pet,Pet | The Equestrian,"Shop premium pet including dog treats, cat toys, bird supplies and small animal bedding. Free shipping Australia-wide. Expert advice available. Find the...",Browse our extensive range of pet products.,"<p>-. pet owners.</p><h3>What Makes Great Pet?</h3><ul><li>Durable construction that stands up to daily use</li><li>Features that make a real difference in performance</li><li>Carefully chosen products from trusted manufacturers</li><li>Competitive pricing without compromising on quality</li></ul><h3>Australian Standards</h3><p>All pet products meet Australian safety and quality standards. Fast shipping Australia-wide with free delivery on all orders. Perfect for Australian pets and conditions.</p>
<h3>Shop by Category</h3><p>Explore our specialized departments including <a href=""/pet/dog"">dogs</a>, <a href=""/pet/cat"">cat</a>,<a href=""/pet/bird"">bird assorted</a>, and <a href=""/pet/small-animal"">small animal</a>, plus 3 more specialized categories. Each department is stocked with premium products from the world's leading brands.</p>",Pet,,1,published,best-selling,"[{""question"":""How do I choose the right pet?"",""answer"":""Consider your specific needs, budget, and intended use. Read product descriptions carefully and check sizing information. Our customer reviews provide valuable insights from real users. If you're unsure, our expert team is always happy to provide personalized recommendations.""},{""question"":""Do you offer free shipping on pet?"",""answer"":""Yes! We offer free shipping on all orders within Australia. Orders are typically processed within 1-2 business days. For urgent needs, express shipping options are available at checkout.""}]",[]
/accessories,Accessories,Accessories | The Equestrian,Shop premium accessories from top brands. Free shipping Australia-wide. Expert advice available. Find the perfect gear for your needs.,Browse our extensive range of accessories products.,"<p>-. the equestrian lifestyle.</p><h3>What Makes Great Accessories?</h3><ul><li>Durable construction that stands up to daily use</li><li>Features that make a real difference in performance</li><li>Carefully chosen products from trusted manufacturers</li><li>Competitive pricing without compromising on quality</li></ul><h3>Shop by Category</h3><p>Explore our specialized departments including <a href=""/accessories/collectibles"">the trail of painted ponies</a>, <a href=""/accessories/books"">books & magazines</a>,<a href=""/accessories/gifts"">gift set</a>, and <a href=""/accessories/gift-cards"">gift card</a>, plus 1 more specialized categories. Each department is stocked with premium products from the world's leading brands.</p>",Accessories,,1,published,best-selling,"[{""question"":""How do I choose the right accessories?"",""answer"":""Consider your specific needs, budget, and intended use. Read product descriptions carefully and check sizing information. Our customer reviews provide valuable insights from real users. If you're unsure, our expert team is always happy to provide personalized recommendations.""},{""question"":""Do you offer free shipping on accessories?"",""answer"":""Yes! We offer free shipping on all orders within Australia. Orders are typically processed within 1-2 business days. For urgent needs, express shipping options are available at checkout.""}]",[]
/clothing/womens,Womens & Ladies Clothing,Ladies Clothing | Buy Online | The Equestrian,"Shop premium womens & ladies clothing including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert...","clothing - ladies clothing. Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<h2>Premium Clothing - Ladies Clothing</h2>
<p>Shop premium womens & ladies clothing from leading brands including Pikeur, Cavallo, Horze, Equiline and Ariat. Each brand offers unique features and quality craftsmanship.</p><p>Discover our comprehensive collection of clothing - ladies clothing, carefully curated to meet the demands of equestrians at every level. From competition-ready gear to everyday essentials, we stock only the finest brands known for quality, durability, and performance. Each product has been expertly selected by our team of experienced professionals who understand what truly matters.</p><h3>What Makes Great Clothing - Ladies Clothing?</h3><ul></ul><h3>Shop by Type</h3><p>Browse our specialized categories including <a href=""/clothing/womens/breeches"">jodhpurs & breeches ladies</a>,<a href=""/clothing/womens/tights"">tights</a>, and <a href=""/clothing/womens/tops"">ladies shirt</a>. Each category features products from world-leading brands trusted by professional enthusiasts.</p>
<h3>Australian Sizing & Climate</h3><p>All clothing sizes include Australian conversions for easy ordering. Our range is perfect for Australian conditions, with lightweight, breathable options for hot summers and thermal styles for cooler southern regions. Fast dispatch from our Australian warehouse with free shipping nationwide.</p>",Ladies & Women,/clothing,2,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
/clothing/womens/breeches,Jodhpurs & Breeches Ladies,Jodhpurs & Breeches Ladies | Premium Quality | The Equestrian,"Shop premium jodhpurs & breeches ladies including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert...","jodhpurs & breeches ladies. Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<p>, . that .</p><h3>What Makes Great Jodhpurs & Breeches Ladies?</h3>
<p>Shop premium jodhpurs & breeches ladies from leading brands including Pikeur, Cavallo, Horze, Equiline and Ariat. Each brand offers unique features and quality craftsmanship.</p><ul>
<li><strong>Technical Fabrics:</strong> Four-way stretch with moisture-wicking properties. UPF 50+ sun protection for outdoor riding.</li>
<li><strong>Grip Options:</strong> Full-seat silicone or knee-patch styles available for secure positioning in the saddle.</li>
<li><strong>Sizing:</strong> European sizes 34-46 (AU 6-18). Detailed size charts available for each brand.</li>
<li><strong>Care:</strong> Machine washable cold water. Hang dry to maintain elasticity and grip.</li>
</ul>
<h3>Australian Sizing Guide</h3><p>European sizing converted to Australian standards. Most brands run true to size, with size charts showing AU equivalents (EU 34 = AU 6, EU 36 = AU 8, etc.). Perfect for Australian riding conditions with moisture-wicking fabrics for hot weather and thermal options for winter.</p>",,/clothing/womens,3,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
/clothing/womens/tights,Tights,Tights | Premium Quality | The Equestrian,"Shop premium tights including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert advice available.","tights. Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<p>, . that .</p><h3>What Makes Great Tights?</h3>
<p>Shop premium tights from leading brands including Horze, Ariat, Cavallo and Pikeur. Each brand offers unique features and quality craftsmanship.</p><ul>
<li><strong>Compression Fit:</strong> Supportive four-way stretch fabric that moves with you.</li>
<li><strong>Grip Technology:</strong> Silicone full-seat or knee patches for stability.</li>
<li><strong>Breathable:</strong> Moisture-wicking materials keep you cool and dry.</li>
<li><strong>Versatile:</strong> Perfect for riding, training, or casual wear.</li>
</ul>
<h3>Australian Sizing Guide</h3><p>European sizing converted to Australian standards. Most brands run true to size, with size charts showing AU equivalents (EU 34 = AU 6, EU 36 = AU 8, etc.). Perfect for Australian riding conditions with moisture-wicking fabrics for hot weather and thermal options for winter.</p>",,/clothing/womens,3,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
/clothing/womens/tops,Ladies Shirt,Ladies Shirt | Premium Quality | The Equestrian,"Shop premium ladies shirt including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert advice available.","ladies shirt. Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<p>, . that .</p><h3>What Makes Great Ladies Shirt?</h3>
<p>Shop premium ladies shirt from leading brands including Pikeur, Cavallo, Ariat and Horze. Each brand offers unique features and quality craftsmanship.</p><ul></ul>
<h3>Australian Sizing & Climate</h3><p>All clothing sizes include Australian conversions for easy ordering. Our range is perfect for Australian conditions, with lightweight, breathable options for hot summers and thermal styles for cooler southern regions. Fast dispatch from our Australian warehouse with free shipping nationwide.</p>",,/clothing/womens,3,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""Wash in cold water on a gentle cycle and hang to dry to preserve technical fabrics. Avoid fabric softeners as they can reduce moisture-wicking properties. For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
/clothing/womens/casual,Casual Clothing Ladies,Casual Clothing Ladies | Premium Quality | The Equestrian,"Shop premium casual clothing ladies including ladies breeches, riding tights, competition shirts and show jackets. Free shipping Australia-wide. Expert...","casual clothing ladies. Expertly selected for quality, durability, and performance. Whether you're competing or riding for leisure, find exactly what you need at The Equestrian.","<p>,. that.</p><h3>What Makes Great Casual Clothing Ladies?</h3>
<p>Shop premium casual clothing ladies from leading brands including Pikeur, Cavallo, Horze, Equiline and Ariat. Each brand offers unique features and quality craftsmanship.</p><ul></ul>
<h3>Australian Sizing & Climate</h3><p>All clothing sizes include Australian conversions for easy ordering. Our range is perfect for Australian conditions, with lightweight, breathable options for hot summers and thermal styles for cooler southern regions. Fast dispatch from our Australian warehouse with free shipping nationwide.</p>",,/clothing/womens,3,published,best-selling,"[{""question"":""What size should I order?"",""answer"":""We recommend consulting our detailed size guide for each brand, as sizing can vary between manufacturers. Most riders find their regular size works well, but competition wear may run smaller. When in doubt, size up for comfort, especially for items you'll wear over base layers.""},{""question"":""How do I care for technical riding clothing?"",""answer"":""For competition wear, follow specific care instructions on the label. Proper care ensures your investment lasts for years.""}]","[{""url"":""/clothing/footwear"",""title"":""Riding Footwear"",""description"":""Complete your outfit with quality boots""},{""url"":""/rider/helmets"",""title"":""Riding Helmets"",""description"":""Safety first with certified helmets""}]"
